"","X1","hhid","intmonth","stfips","weight","earnwke","uhours","grade92","race","ethnic","age","sex","marital","ownchild","chldpres","prcitshp","state","ind02","occ2012","class","unionmme","unioncov","lfsr94","female","w"
"34",760,77450340045007,"January","AZ",2685.7836,961,40,44,2,NA,46,1,1,0,0,"Native, Born In US",86,"Insurance carriers and related activities (524)",4810,"Private, For Profit","No","No","Employed-At Work",FALSE,24.025
"35",761,77450340045007,"January","AZ",2835.3902,500,40,44,2,NA,43,2,1,0,0,"Native, Born In US",86,"Banking and related activities (521, 52211,52219)",430,"Private, For Profit","No","No","Employed-At Work",TRUE,12.5
"36",777,140328063906491,"January","AZ",3999.9218,2884.61,50,46,1,NA,41,2,1,3,3,"Native, Born In US",86,"Hospitals (622)",3060,"Private, For Profit","No","No","Employed-At Work",TRUE,57.6922
"37",778,140328063906491,"January","AZ",4326.3262,600,50,44,1,NA,40,1,1,3,3,"Native, Born In US",86,"Elementary and secondary schools (6111)",2320,"Private, For Profit","No","No","Employed-At Work",FALSE,12
"38",784,140603073808694,"January","AZ",4664.7207,1057.69,40,44,1,NA,54,2,1,0,0,"Native, Born In US",86,"Elementary and secondary schools (6111)",2310,"Government - Local","No","No","Employed-At Work",TRUE,26.44225
"39",800,403902310698614,"January","AZ",4158.2245,1557.5,50,46,4,NA,44,2,7,2,8,"Foreign Born, US Cit By Naturalization",86,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, For Profit","No","No","Employed-At Work",TRUE,31.15
"40",801,430249009603420,"January","AZ",5772.5901,2019.23,40,44,4,NA,33,1,1,0,0,"Foreign Born, Not a US Citizen",86,"Computer systems design and related services (5415)",1430,"Private, For Profit","No","No","Employed-At Work",FALSE,50.48075
"41",902,945084967039340,"January","AZ",3475.1573,673.07,60,44,1,NA,62,1,5,0,0,"Native, Born In US",86,"Travel arrangements and reservation services (5615)",5700,"Private, For Profit","No","No","Employed-At Work",FALSE,11.2178333333333
"42",955,980959095007799,"January","AR",1808.9381,2038.46,45,44,1,NA,62,2,5,0,0,"Native, Born In US",71,"Outpatient care centers (6214)",3245,"Private, For Profit","No","No","Employed-At Work",TRUE,45.2991111111111
"43",1045,700506937384998,"January","AR",2260.4916,1442.3,45,44,1,NA,32,1,1,2,1,"Native, Born In US",71,"****Department stores and discount stores (s45211)",800,"Private, For Profit","No","No","Employed-At Work",FALSE,32.0511111111111
"44",1097,985989670786005,"January","AR",1876.4358,1288.46,40,44,1,NA,61,1,1,0,0,"Native, Born In US",71,"Elementary and secondary schools (6111)",2310,"Government - State","No","No","Employed-At Work",FALSE,32.2115
"45",1137,599630544390630,"January","AR",1483.9404,1800,40,44,1,NA,38,2,1,3,8,"Native, Born In US",71,"Home health care services (6216)",3160,"Private, For Profit","No","No","Employed-At Work",TRUE,45
"46",1199,965159070919006,"January","AR",1709.1787,490.4,40,44,1,NA,46,2,5,0,0,"Native, Born In US",71,"Real estate (531)",5120,"Private, For Profit","No","No","Employed-At Work",TRUE,12.26
"47",1210,23408025621,"January","CA",3459.5845,2884.61,80,45,1,NA,36,1,7,0,0,"Foreign Born, Not a US Citizen",93,"Hospitals (622)",3060,"Government - State","No","No","Employed-At Work",FALSE,36.057625
"48",1232,4660760973490,"January","CA",3135.6129,2019.23,55,44,1,NA,29,1,1,0,0,"Native, Born In US",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",430,"Private, For Profit","No","No","Employed-At Work",FALSE,36.7132727272727
"49",1300,44410360998196,"January","CA",2914.2268,1730.76,40,44,1,NA,47,1,1,1,3,"Native, Born In US",93,"Internet publishing and broadcasting and web search portals (51913)",4710,"Private, For Profit","No","No","Employed-At Work",FALSE,43.269
"50",1312,53310760979891,"January","CA",2884.5314,1500,40,44,1,NA,35,2,1,2,6,"Native, Born In US",93,"Scientific research and development services (5417)",840,"Government - State","No","No","Employed-At Work",TRUE,37.5
"51",1320,58056202030650,"January","CA",2889.1284,2884.61,50,45,1,8,34,2,1,0,0,"Native, Born Abroad Of US Parent(s)",93,"Hospitals (622)",3060,"Private, For Profit","No","No","Employed-At Work",TRUE,57.6922
"52",1321,58056202030650,"January","CA",3117.6833,2884.61,50,45,1,NA,34,1,1,0,0,"Native, Born In US",93,"Hospitals (622)",3060,"Private, For Profit","No","No","Employed-At Work",FALSE,57.6922
"53",1331,60546067908790,"January","CA",2601.584,407.5,25,44,1,1,59,2,7,0,0,"Native, Born In US",93,"Legal services (5411)",710,"Private, For Profit","No","No","Employed-At Work",TRUE,16.3
"54",1344,60901093001001,"January","CA",3716.5958,1230,50,44,4,NA,59,2,7,0,0,"Foreign Born, US Cit By Naturalization",93,"** Furniture and home furnishing, merchant wholesalers (*4232)",10,"Private, For Profit","No","No","Employed-At Work",TRUE,24.6
"55",1350,65520360020508,"January","CA",3452.4723,1653.84,40,44,1,1,30,1,1,0,0,"Foreign Born, US Cit By Naturalization",93,"Specialized design services (5414)",1107,"Private, For Profit","No","No","Employed-At Work",FALSE,41.346
"56",1351,65520360020508,"January","CA",3457.9806,807.69,40,44,1,1,28,2,1,0,0,"Native, Born In US",93,"Museums, art galleries, historical sites, and similar institutions (712)",136,"Private, Nonprofit","No","No","Employed-At Work",TRUE,20.19225
"57",1366,74770360994195,"January","CA",2962.7199,1250,50,44,1,NA,42,1,1,2,3,"Native, Born In US",93,"Religious organizations (8131)",2040,"Private, Nonprofit","No","No","Employed-At Work",FALSE,25
"58",1367,74770360994195,"January","CA",2937.0417,1307.69,40,44,1,NA,43,2,1,2,3,"Native, Born In US",93,"Elementary and secondary schools (6111)",2310,"Private, Nonprofit","No","No","Employed-At Work",TRUE,32.69225
"59",1371,79810760974975,"January","CA",5228.215,1136.36,40,44,4,NA,29,1,7,0,0,"Native, Born In US",93,"Elementary and secondary schools (6111)",2330,"Government - Local","Yes",NA,"Employed-At Work",FALSE,28.409
"60",1383,89810360992998,"January","CA",2937.0417,2884.61,40,46,1,NA,40,2,1,2,6,"Foreign Born, US Cit By Naturalization",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Government - State","Yes",NA,"Employed-At Work",TRUE,72.11525
"61",1384,89810360992998,"January","CA",3618.9876,2884.61,40,46,1,7,41,1,1,2,6,"Foreign Born, US Cit By Naturalization",93,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",1800,"Private, For Profit","No","No","Employed-At Work",FALSE,72.11525
"62",1390,90943004066636,"January","CA",2993.0883,342,24,44,1,NA,64,2,1,0,0,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Government - Local","Yes",NA,"Employed-At Work",TRUE,14.25
"63",1414,92943200013678,"January","CA",3322.9475,1788,50,44,1,NA,27,2,7,0,0,"Foreign Born, US Cit By Naturalization",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Government - State","No","No","Employed-At Work",TRUE,35.76
"64",1415,92943200013678,"January","CA",3702.3638,1346.15,50,44,1,1,25,2,7,0,0,"Native, Born In US",93,"Medical equipment and supplies manufacturing (3391)",1530,"Private, For Profit","No","No","Employed-At Work",TRUE,26.923
"65",1417,92957701084698,"January","CA",3544.3911,2788.46,60,44,1,NA,35,1,1,1,1,"Foreign Born, US Cit By Naturalization",93,"Computer systems design and related services (5415)",120,"Private, For Profit","No","No","Employed-At Work",FALSE,46.4743333333333
"66",1435,93973800093618,"January","CA",3293.8105,2884.61,40,44,4,NA,40,1,1,3,11,"Foreign Born, Not a US Citizen",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",1020,"Private, For Profit","No","No","Employed-At Work",FALSE,72.11525
"67",1454,94927107035608,"January","CA",3416.932,1923.07,40,45,2,NA,61,1,1,1,3,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, Nonprofit","No","No","Employed-At Work",FALSE,48.07675
"68",1489,97977400095618,"January","CA",3166.3863,2307,50,46,1,NA,47,2,1,1,4,"Native, Born In US",93,"Legal services (5411)",2100,"Private, For Profit","No","No","Employed-At Work",TRUE,46.14
"69",1493,98933906050656,"January","CA",2968.0144,2307.69,40,44,4,NA,53,1,1,0,0,"Foreign Born, US Cit By Naturalization",93,"Computer systems design and related services (5415)",110,"Private, For Profit","No","No","Employed-At Work",FALSE,57.69225
"70",1494,98933906050656,"January","CA",3840.966,692.3,40,44,4,NA,53,2,1,0,0,"Foreign Born, US Cit By Naturalization",93,"Employment services (5613)",800,"Government - State","Yes",NA,"Employed-At Work",TRUE,17.3075
"71",1543,203908310199246,"January","CA",2904.3764,750,40,44,1,NA,27,1,7,0,0,"Native, Born In US",93,"Independent artists, performing arts, spectator sports, and related industries (711)",2750,"Private, For Profit","No","No","Employed-At Work",FALSE,18.75
"72",1545,206898730909001,"January","CA",2914.2268,1250,40,44,1,NA,45,1,1,0,0,"Native, Born In US",93,"Independent artists, performing arts, spectator sports, and related industries (711)",2850,"Private, For Profit","Yes",NA,"Employed-At Work",FALSE,31.25
"73",1553,210761097407139,"January","CA",3174.2668,2884.61,50,44,1,NA,30,2,1,0,0,"Native, Born In US",93,"Computer systems design and related services (5415)",50,"Private, For Profit","No","No","Employed-At Work",TRUE,57.6922
"74",1554,210761097407139,"January","CA",3194.1088,1923.07,55,44,1,NA,34,1,1,0,0,"Native, Born In US",93,"Computer systems design and related services (5415)",110,"Private, For Profit","No","No","Employed-At Work",FALSE,34.9649090909091
"75",1568,256080630550002,"January","CA",3117.6833,1095,60,45,1,NA,32,1,7,0,0,"Foreign Born, US Cit By Naturalization",93,"Hospitals (622)",3060,"Private, For Profit","No","No","Employed-At Work",FALSE,18.25
"76",1569,256080630550002,"January","CA",2889.1284,807,40,44,1,7,31,2,7,0,0,"Native, Born In US",93,"Museums, art galleries, historical sites, and similar institutions (712)",136,"Private, Nonprofit","No","No","Employed-At Work",TRUE,20.175
"77",1576,260177093001600,"January","CA",3025.9292,500,40,46,1,7,35,2,1,0,0,"Foreign Born, Not a US Citizen",93,"** Services to buildings and dwellings (5617 exc. 56173)",4840,"Private, For Profit","No","No","Employed-At Work",TRUE,12.5
"78",1585,260755057903294,"January","CA",3862.7813,1538.46,40,44,4,NA,34,1,1,1,1,"Foreign Born, Not a US Citizen",93,"Non-depository credit and related activities (5222, 5223)",120,"Private, For Profit","No","No","Employed-At Work",FALSE,38.4615
"79",1598,274094619600569,"January","CA",3208.4175,1115,40,44,5,NA,44,2,1,2,3,"Native, Born In US",93,"Administration of human resource programs (923)",3649,"Government - Local","No","No","Employed-At Work",TRUE,27.875
"80",1599,274095889600695,"January","CA",4206.8878,2884.61,40,46,4,NA,39,1,1,1,1,"Foreign Born, US Cit By Naturalization",93,"4795",1020,"Private, For Profit","No","No","Employed-At Work",FALSE,72.11525
"81",1618,300600064108619,"January","CA",2841.7085,2100,40,44,1,NA,44,2,1,2,3,"Native, Born In US",93,"Elementary and secondary schools (6111)",20,"Government - Local","Yes",NA,"Employed-At Work",TRUE,52.5
"82",1622,300600091090110,"January","CA",4070.3369,2884.61,50,44,4,NA,39,1,1,3,10,"Native, Born In US",93,"Medical equipment and supplies manufacturing (3391)",1430,"Private, For Profit","No","No","Employed-At Work",FALSE,57.6922
"83",1651,300609928558954,"January","CA",3194.1088,1634.61,40,44,1,NA,31,1,7,0,0,"Foreign Born, Not a US Citizen",93,"Computer systems design and related services (5415)",1020,"Private, For Profit","No","No","Employed-At Work",FALSE,40.86525
"84",1671,303905920590786,"January","CA",2282.9108,1615.38,35,44,2,NA,55,2,7,0,0,"Native, Born In US",93,"Elementary and secondary schools (6111)",2010,"Private, Nonprofit","Yes",NA,"Employed-At Work",TRUE,46.1537142857143
"85",1684,340964097603079,"January","CA",2976.1449,1923.07,40,44,4,NA,50,1,1,2,10,"Foreign Born, US Cit By Naturalization",93,"3365",1400,"Private, For Profit","No","No","Employed-At Work",FALSE,48.07675
"86",1685,340964097603079,"January","CA",3851.4879,1923.07,40,44,4,NA,50,2,1,2,10,"Foreign Born, US Cit By Naturalization",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",1530,"Private, For Profit","No","No","Employed-At Work",TRUE,48.07675
"87",1707,407902250698496,"January","CA",3130.1341,1730,45,44,1,NA,49,2,5,0,0,"Native, Born In US",93,"Hospitals (622)",430,"Private, For Profit","No","No","Employed-At Work",TRUE,38.4444444444444
"88",1729,435002800600122,"January","CA",3060.5871,700,50,45,1,NA,29,1,7,0,0,"Native, Born In US",93,"Accounting, tax preparation, bookkeeping, and payroll services (5412)",2100,"Private, For Profit","No","No","Employed-At Work",FALSE,14
"89",1746,460461092603949,"January","CA",3287.91,961.53,40,45,4,NA,30,2,1,0,0,"Foreign Born, US Cit By Naturalization",93,"Hospitals (622)",3060,"Private, Nonprofit","No","No","Employed-At Work",TRUE,24.03825
"90",1747,460461092603949,"January","CA",3577.9197,1923.07,40,44,4,NA,33,1,1,0,0,"Foreign Born, Not a US Citizen",93,"Advertising and related services (5418)",710,"Private, For Profit","No","No","Employed-At Work",FALSE,48.07675
"91",1765,507901700899476,"January","CA",3224.6756,1854,40,44,1,NA,54,2,7,0,0,"Native, Born In US",93,"Elementary and secondary schools (6111)",2340,"Government - Local","Yes",NA,"Employed-At Work",TRUE,46.35
"92",1770,520469094307267,"January","CA",2750.4162,2884.61,40,44,1,NA,61,1,1,0,0,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",3930,"Government - State","No","No","Employed-At Work",FALSE,72.11525
"93",1771,520469094307267,"January","CA",2778.1695,961.53,40,44,1,1,47,2,1,0,0,"Foreign Born, US Cit By Naturalization",93,"Colleges and universities, including junior colleges (6112, 6113)",5360,"Private, For Profit","No","No","Employed-At Work",TRUE,24.03825
"94",1776,550266008203050,"January","CA",3459.5845,1538,40,44,1,NA,35,1,7,0,0,"Native, Born In US",93,"Real estate (531)",410,"Private, For Profit","No","No","Employed-At Work",FALSE,38.45
"95",1790,560234077705296,"January","CA",3303.1246,2250,40,45,4,NA,55,2,1,0,0,"Foreign Born, US Cit By Naturalization",93,"Hospitals (622)",3649,"Private, For Profit","Yes",NA,"Employed-At Work",TRUE,56.25
"96",1807,578099978600814,"January","CA",3057.9629,1223.07,40,44,1,3,38,2,5,0,0,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Government - State","Yes",NA,"Employed-At Work",TRUE,30.57675
"97",1811,603903440696006,"January","CA",3618.9876,1512.4,40,44,1,1,42,1,1,4,6,"Native, Born In US",93,"Justice, public order, and safety activities (922, pt. 92115)",3820,"Government - Local","Yes",NA,"Employed-At Work",FALSE,37.81
"98",1821,629800018720930,"January","CA",3303.1246,865,24,44,4,NA,56,2,5,0,0,"Foreign Born, US Cit By Naturalization",93,"Hospitals (622)",3255,"Private, Nonprofit","No","No","Employed-At Work",TRUE,36.0416666666667
"99",1823,629800018720930,"January","CA",3569.2107,969,40,44,4,NA,59,1,5,0,0,"Foreign Born, US Cit By Naturalization",93,"Other amusement, gambling, and recreation industries (713 exc. 71395)",4400,"Private, For Profit","No","No","Employed-At Work",FALSE,24.225
"100",1833,639000840600161,"January","CA",2355.0756,2050,40,44,2,NA,48,2,5,0,0,"Native, Born In US",93,"National security and international affairs (928)",20,"Government - Federal","Yes",NA,"Employed-At Work",TRUE,51.25
"101",1954,700609928558964,"January","CA",3253.4675,1346,40,44,4,NA,30,2,1,0,0,"Native, Born In US",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",1020,"Private, For Profit","No","No","Employed-At Work",TRUE,33.65
"102",1955,700609928558964,"January","CA",5644.4675,1153,40,44,4,NA,29,1,1,0,0,"Foreign Born, Not a US Citizen",93,"Computer systems design and related services (5415)",1020,"Private, For Profit","No","No","Employed-At Work",FALSE,28.825
"103",1967,700609949252366,"January","CA",3017.4815,1250,25,44,1,NA,60,2,1,0,0,"Native, Born In US",93,"Child day care services (6244)",2300,"Private, For Profit","No","No","Employed-At Work",TRUE,50
"104",1972,700609960450687,"January","CA",3303.7238,1854.16,40,44,1,NA,51,2,1,2,10,"Native, Born In US",93,"Elementary and secondary schools (6111)",2310,"Government - State","Yes",NA,"Employed-At Work",TRUE,46.354
"105",1990,700609978592063,"January","CA",4206.8878,2400,40,44,4,NA,35,1,1,2,2,"Foreign Born, Not a US Citizen",93,"*** Electronic shopping (New industry *454111)",1020,"Private, For Profit","No","No","Employed-At Work",FALSE,60
"106",1996,700609983456587,"January","CA",3057.3628,2884.61,50,46,1,NA,55,1,7,0,0,"Native, Born In US",93,"Investigation and security services (5616)",2100,"Private, For Profit","No","No","Employed-At Work",FALSE,57.6922
"107",2004,707006180107856,"January","CA",3093.3094,1538.46,40,44,1,1,34,2,6,2,10,"Native, Born In US",93,"Elementary and secondary schools (6111)",230,"Private, For Profit","No","No","Employed-At Work",TRUE,38.4615
"108",2017,735003590600179,"January","CA",3502.057,2884.61,45,44,4,NA,46,1,1,2,3,"Foreign Born, Not a US Citizen",93,"Wired telecommunications carriers (*5171)",1020,"Private, For Profit","No","No","Employed-At Work",FALSE,64.1024444444444
"109",2018,735003590600179,"January","CA",3764.9964,2500,40,44,4,NA,47,2,1,2,3,"Foreign Born, Not a US Citizen",93,"Wired telecommunications carriers (*5171)",1020,"Private, For Profit","No","No","Employed-At Work",TRUE,62.5
"110",2031,760547003908495,"January","CA",3244.0056,1153.84,40,46,1,NA,46,2,7,0,0,"Native, Born In US",93,"Independent artists, performing arts, spectator sports, and related industries (711)",2850,"Private, Nonprofit","No","No","Employed-At Work",TRUE,28.846
"111",2043,772092567600543,"January","CA",2834.2886,2307.69,55,44,1,NA,50,1,5,0,0,"Native, Born In US",93,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",2016,"Government - Local","No","No","Employed-At Work",FALSE,41.958
"112",2056,800962095907579,"January","CA",3841.2795,2884.61,60,45,4,NA,55,2,7,0,0,"Native, Born In US",93,"Banking and related activities (521, 52211,52219)",2100,"Private, For Profit","No","No","Employed-At Work",TRUE,48.0768333333333
"113",2074,833097039600891,"January","CA",3075.9881,2884.61,40,44,4,NA,52,1,1,1,3,"Foreign Born, US Cit By Naturalization",93,"3365",300,"Private, For Profit","No","No","Employed-At Work",FALSE,72.11525
"114",2112,900261009107000,"January","CA",3186.8971,2000,40,44,4,NA,41,1,1,0,0,"Foreign Born, Not a US Citizen",93,"Computer systems design and related services (5415)",110,"Private, For Profit","No","No","Employed-At Work",FALSE,50
"115",2129,909066755079830,"January","CA",3187.7561,1015,40,44,1,NA,50,2,7,0,0,"Native, Born In US",93,"Hospitals (622)",430,"Private, For Profit","No","No","Employed-At Work",TRUE,25.375
"116",2172,936001200600177,"January","CA",2937.0417,1028,40,46,1,NA,44,2,7,0,0,"Foreign Born, US Cit By Naturalization",93,"Scientific research and development services (5417)",1910,"Private, For Profit","No","No","Employed-At Work",TRUE,25.7
"117",2173,936001200600177,"January","CA",2962.7199,2115,40,46,1,NA,44,1,7,0,0,"Foreign Born, Not a US Citizen",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, For Profit","No","Yes","Employed-At Work",FALSE,52.875
"118",2182,936079430749006,"January","CA",2841.7085,1292.3,24,44,1,NA,42,2,1,3,6,"Native, Born In US",93,"Elementary and secondary schools (6111)",1820,"Government - Local","No","Yes","Employed-At Work",TRUE,53.8458333333333
"119",2189,938006919079370,"January","CA",2884.5314,769.23,20,44,1,NA,36,2,1,2,1,"Native, Born In US",93,"Elementary and secondary schools (6111)",2000,"Government - Local","Yes",NA,"Employed-At Work",TRUE,38.4615
"120",2228,956799670179007,"January","CA",3088.3206,2692.3,45,44,1,NA,51,1,1,2,10,"Foreign Born, Not a US Citizen",93,"Pharmaceutical and medicine manufacturing (3254)",7700,"Private, For Profit","No","No","Employed-At Work",FALSE,59.8288888888889
"121",2229,956799670179007,"January","CA",2841.7085,1875,40,44,1,NA,44,2,1,2,10,"Native, Born In US",93,"Elementary and secondary schools (6111)",3230,"Government - Local","Yes",NA,"Employed-At Work",TRUE,46.875
"122",2230,957006765079340,"January","CA",2962.7199,2884.61,60,44,1,NA,43,1,7,0,0,"Native, Born In US",93,"Banking and related activities (521, 52211,52219)",120,"Government - Federal","No","No","Employed-At Work",FALSE,48.0768333333333
"123",2244,967086922039600,"January","CA",2962.7199,2403.84,45,44,1,NA,43,1,1,3,10,"Native, Born In US",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",110,"Private, For Profit","No","No","Employed-At Work",FALSE,53.4186666666667
