EDAD,GAUT,HIJOSM18,Y
39,5100,3,17600
35,5200,2,12300
56,5250,0,12358.5
38,5300,3,19500
52,5310,1,10830
56,5470,0,19500
43,5500,1,14500
37,5500,2,12000
42,5500,3,19750
46,5500,2,9500
48,5540,0,11251
56,5580,0,15009
58,5600,0,12780.5
48,5750,0,6400
46,5800,3,13950
53,5830,0,10230
37,5950,2,10576
47,5990,0,21350
42,6000,0,11650
47,6000,1,8900
58,6000,1,16475
47,6000,3,27500
30,6000,1,13050
40,6000,1,18000
58,6000,0,19400
39,6000,1,11550
35,6040,2,15800
33,6070,3,13000
57,6180,0,15300
47,6180,0,10065
48,6250,3,21215
54,6250,3,13450
47,6250,0,6905
56,6300,1,17000
44,6300,4,5975
44,6310,0,45400
47,6390,0,8865
59,6450,0,14000
40,6500,1,17820.5
49,6800,4,19295
31,6900,1,7850
56,6920,0,16005.5
60,7000,0,16610
41,7000,0,15900
49,7050,1,17850
46,7100,0,18100
51,7140,0,15375
53,7150,1,15937.5
51,7250,0,15905
45,7500,2,9300
33,7720,2,19550
33,8000,4,21750
57,8100,1,12852
44,8130,0,17650
34,8170,1,17275
33,8250,0,18650
39,8300,2,16150
47,8500,1,33150
41,8500,1,18650
38,8500,4,18215
55,8750,0,16250
43,9000,0,16785
56,9500,0,17350
30,9530,0,18275
33,9800,1,17550
32,9980,2,8122.5
53,9980,0,9450
48,9980,1,21000
35,9980,4,12000
34,9980,3,12000
47,9980,0,22750
59,9980,0,15500
42,9980,0,28650
