K,L,Y
1.24292046,49,1.85520876
1.97617908,16,1.87231317
0.32622324,35,1.88941758
1.46131155,53,1.89164859
3.53639874,26,1.91891649
0.84704013,42,1.92263484
2.14722318,38,1.93924347
2.13705969,17,1.96353669
1.19433402,63,1.98510312
1.23077385,14,2.00741322
0.93231429,34,2.01708093
0.50048991,45,2.02650075
1.31927058,33,2.04806718
0.36613353,43,2.05922223
2.98038147,38,2.07632664
0.20004723,30,2.08153233
0.04164552,8,2.10433821
1.32546783,42,2.10557766
1.27638561,61,2.10904812
2.31355737,35,2.11078335
0.38869152,61,2.11301436
0.7312755,46,2.1145017
0.82002012,43,2.12491308
2.35892124,40,2.12962299
0.73474596,45,2.13259767
3.36188418,44,2.14821474
1.67895897,48,2.14945419
0.73995165,50,2.15118942
2.14970208,44,2.16284025
0.34010508,53,2.16829383
1.04188167,28,2.18068833
0.78481974,49,2.19952797
0.41075373,53,2.20225476
0.83514141,42,2.20398999
1.31927058,27,2.21663238
1.23895422,40,2.22506064
0.1140294,13,2.23720725
0.30044268,13,2.24018193
1.53667011,34,2.2434045
1.69408026,44,2.25778212
0.97767816,43,2.28455424
2.69183751,59,2.30909535
1.67871108,40,2.31975462
0.93181851,44,2.32148985
0.4040607,58,2.34925353
0.45562182,61,2.34974931
1.23870633,50,2.35148454
1.12095858,38,2.37032418
0.90653373,57,2.37280308
2.09392683,35,2.4466743
0.8800095,35,2.46055614
1.63037253,40,2.47939578
2.24266083,48,2.49798753
1.37157537,89,2.49972276
4.77064305,54,2.50170588
3.64175199,30,2.50294533
1.06072131,69,2.52302442
5.39953998,35,2.52500754
1.31183388,47,2.52624699
2.19928008,93,2.52897378
1.50494019,56,2.53864149
0.14600721,43,2.53938516
0.53221983,48,2.54459085
0.88794198,67,2.54954865
1.16161254,47,2.56169526
0.36638142,13,2.60334078
1.7798502,29,2.61722262
7.21434267,134,2.63234391
2.52153708,16,2.66630484
0.93603264,48,2.66828796
2.50220166,83,2.66903163
1.95957045,36,2.67250209
3.38221116,63,2.67250209
2.03492901,51,2.70001788
0.63782097,18,2.70720669
1.1774775,57,2.71588284
2.82693756,37,2.72951679
2.81677407,43,2.76744396
1.67499273,42,2.77587222
5.48283102,48,2.77735956
0.77168157,45,2.79272874
1.21441311,54,2.79595131
1.65540942,76,2.81528673
0.04015818,66,2.83710105
2.05128975,28,2.84726454
0.95883852,57,2.85891537
2.14994997,41,2.86238583
0.97767816,47,2.86858308
1.16136465,46,2.89014951
1.43974512,60,2.8953552
1.8120759,75,2.89932144
1.01114331,54,2.90254401
3.50615616,14,2.90973282
0.44273154,57,2.92361466
0.70524705,34,2.92733301
0.52329579,78,2.98509138
1.412973,162,2.98533927
2.24712285,42,2.98657872
0.64401822,56,3.01359873
0.17748924,45,3.03342993
1.77836286,82,3.03590883
1.1303784,98,3.05450058
1.67548851,77,3.06367251
4.16157732,19,3.0763149
1.63557822,44,3.08920518
1.81009278,75,3.1085406
0.9320664,78,3.11126739
0.75482505,26,3.15787071
2.14548795,67,3.18687384
7.80679977,25,3.19455843
1.01064753,53,3.20571348
2.90477502,75,3.21686853
0.99850092,69,3.21711642
0.64798446,51,3.23669973
1.87330473,56,3.23719551
0.52651836,71,3.24562377
0.98337963,85,3.26148873
1.74464982,57,3.27066066
2.04831507,46,3.29321865
2.6350707,87,3.31081884
2.80710636,89,3.3564306
1.25853753,61,3.35742216
3.41418897,47,3.36188418
0.68095383,158,3.37725336
0.00322257,118,3.38320272
1.02552093,66,3.38493795
0.83315829,61,3.39311832
0.79622268,173,3.40303392
1.30067883,38,3.40650438
1.05006204,86,3.40724805
2.59119417,65,3.42360879
5.47539432,45,3.42460035
2.86387317,45,3.4357554
0.8081214,74,3.45930495
6.44861046,41,3.45980073
7.32465372,222,3.47343468
2.40354144,92,3.50888295
0.97148091,86,3.52152534
2.70621513,75,3.52797048
1.86462858,87,3.52920993
2.03443323,70,3.53168883
4.8288972,46,3.5324325
0.49032642,38,3.56267508
0.79275222,58,3.56589765
3.80238471,48,3.5919261
0.13212537,50,3.61374042
0.5329635,173,3.61522776
0.31333296,91,3.62092923
2.91097227,80,3.63877731
6.39952824,49,3.65960007
0.62393913,116,3.66232686
1.32323682,91,3.66430998
3.73495863,61,3.66480576
7.84001703,108,3.67670448
2.31083058,60,3.68314962
0.93057906,66,3.70174137
2.78529204,45,3.70248504
3.6142362,180,3.70422027
3.68761164,74,3.7208289
2.07607875,93,3.73099239
2.23324101,86,3.75131937
2.92658934,60,3.77462103
0.6370773,142,3.78230562
0.97569504,80,3.78602397
0.34109664,84,3.79990581
1.63260354,83,3.81924123
1.14252501,46,3.83634564
3.48731652,72,3.85121904
3.65712117,52,3.89212089
2.07880554,131,3.89410401
0.29895534,105,3.93550164
0.57609636,81,3.95087082
2.77711167,52,3.99499524
3.09193197,71,4.00738974
0.23252082,42,4.00813341
15.66292965,1,4.01557011
1.06196076,61,4.02846039
9.79339023,67,4.03168296
6.18212871,46,4.05200994
0.01710441,31,4.05969453
1.75283019,47,4.08993711
0.42984126,101,4.09291179
10.73785113,72,4.12464171
1.15665474,108,4.14001089
3.81849756,94,4.17595494
6.54727068,74,4.1769465
0.96602733,53,4.17868173
0.61575876,95,4.18140852
1.02923928,114,4.2364401
0.30217791,171,4.25924598
0.90182382,99,4.30262673
1.7228355,48,4.30708875
2.40502878,296,4.33683555
1.03246185,88,4.35939354
0.61922922,81,4.36831758
1.72010871,88,4.37426694
0.79176066,127,4.38120786
2.9548488,77,4.40302218
0.38026326,97,4.42830696
0.57113856,114,4.43574366
0.87529959,110,4.43698311
6.24955479,84,4.44739449
1.33513554,105,4.46995248
4.97911854,52,4.52771085
2.17721787,22,4.52944608
3.81180453,101,4.54060113
4.50986277,60,4.55225196
1.58922279,74,4.58175087
1.46478201,77,4.58720445
2.96327706,73,4.59067491
13.29037446,70,4.60257363
2.68762338,91,4.65264741
3.88468419,58,4.66702503
1.0262646,69,4.67470962
6.742608,61,4.70098596
1.2344922,44,4.70445642
7.34869905,70,4.71114945
0.49701945,104,4.71561147
1.23374853,165,4.72998909
3.01483818,69,4.75576965
1.83215499,30,4.80336453
1.02403359,151,4.81253646
0.7089654,171,4.83360711
9.46295286,44,4.85393409
8.16871917,54,4.88417667
0.65393382,151,4.89359649
7.25226984,63,4.90425576
7.05965931,110,4.94019981
1.72556229,94,4.95185064
2.90948493,100,5.02894443
1.56245067,66,5.04431361
0.81258342,98,5.08843803
1.65243474,56,5.09141271
1.95312531,138,5.14346961
1.13161785,194,5.16131769
4.48011597,92,5.17470375
1.52749818,113,5.19354339
1.12368537,49,5.21089569
2.03220222,80,5.2354368
1.46081577,127,5.2627047
7.16377311,147,5.31203481
2.16234447,80,5.32442931
6.32714436,100,5.35392822
2.49402129,107,5.37499887
1.70573109,38,5.38813704
7.48553433,64,5.41044714
0.72160779,40,5.41837962
0.98957688,102,5.43845871
12.20957406,128,5.43945027
2.27761332,104,5.44341651
4.48085964,86,5.44515174
5.40028365,44,5.49225084
9.07723602,156,5.49869598
2.99624643,106,5.5081158
1.2617601,137,5.52918645
6.53983398,46,5.56413894
7.4342211,122,5.58025179
2.2657146,178,5.58719271
2.79892599,133,5.59091106
2.00171175,102,5.61049437
1.87330473,72,5.62561566
6.75376305,108,5.66205549
0.79151277,86,5.69229807
2.6995221,116,5.69576853
11.59951677,128,5.78748783
1.91073612,114,5.825415
1.26647001,99,5.83904895
3.25603515,188,5.90350035
1.12988262,148,5.91515118
0.90554217,206,5.92581045
6.122883,118,6.00116901
0.20351769,112,6.00166479
2.16680649,117,6.0088536
2.06913783,183,6.11891676
2.62738611,126,6.18138504
2.87750712,184,6.18336816
5.18065311,126,6.21088395
1.95386898,117,6.2418702
11.36699595,69,6.33334161
5.79864288,93,6.33482895
2.73769716,121,6.37944915
4.50316974,124,6.38886897
5.22676065,114,6.39903246
2.61375216,160,6.40349448
4.33039041,81,6.41935944
5.70717147,123,6.50562516
6.2146023,155,6.51603654
3.62439969,188,6.52669581
2.45857302,141,6.59610501
4.22280615,69,6.6409731
0.39315354,143,6.67890027
6.13230282,124,6.74112066
2.2954614,248,6.75401094
1.66557291,91,6.78821976
3.6588564,170,6.79292967
8.29241628,66,6.79763958
2.83239114,161,6.80408472
3.58672041,189,6.82490748
3.47194734,112,6.83085684
0.96453999,92,7.0053714
3.95533284,130,7.00809819
4.6578531,117,7.11543456
8.45255322,209,7.12832484
2.03567268,211,7.13799255
9.01451985,164,7.1739366
14.76036216,104,7.20591441
3.43253283,132,7.23987534
0.55552149,89,7.27730673
1.2716757,44,7.3325862
0.77267313,219,7.39654182
8.72622378,75,7.40769687
2.67349365,189,7.461489
4.05077049,65,7.47437928
0.95710329,85,7.54007013
12.44209488,120,7.55271252
6.1055307,187,7.56213234
1.52130093,155,7.5680817
0.54312699,127,7.58171565
2.21935917,177,7.59956373
5.47514643,203,7.6374909
6.3980409,113,7.74309204
2.77587222,92,7.77184728
5.7113856,170,7.79415738
13.53702501,39,7.82563941
5.73022524,144,7.89703173
1.31852691,46,7.90223742
1.86933849,141,7.92231651
4.16008998,155,7.99073415
1.660863,98,8.0241993
2.107065,236,8.06584482
2.46501816,178,8.2696104
0.98288385,138,8.4381756
4.45383963,108,8.51824407
8.87495778,108,8.58666171
3.39485355,66,8.6637555
2.77091442,176,8.70143478
3.91616622,71,8.72126598
5.41243026,196,8.75126067
4.2785814,105,8.77257921
1.63979235,216,8.8298418
2.64771309,195,9.00286902
1.44817338,68,9.01179306
0.72854871,94,9.02369178
2.31677994,211,9.0455061
6.67939605,175,9.16003128
1.54732938,180,9.21208818
2.60656335,184,9.25075902
5.22750432,148,9.28620729
12.28220583,280,9.37172934
2.90427924,142,9.4272567
13.12924596,109,9.51550554
2.03294589,165,9.57921327
6.19303587,204,9.742077
3.88394052,129,9.80429739
2.4888156,187,9.81570033
10.74256104,93,9.92328459
2.04112626,264,9.96245121
9.87519393,233,9.9800514
2.87403666,177,10.03855344
1.12616427,125,10.08317364
1.95287742,216,10.12159659
2.28257112,157,10.28322087
3.44120898,172,10.30602675
5.0371248,200,10.42922808
2.8730451,53,10.47112149
4.78055865,242,10.48549911
8.08096611,168,10.91063046
9.12904503,207,10.92847854
0.01388184,429,11.22074085
7.68062376,219,11.27577243
9.21035295,182,11.34914787
4.734699,208,11.47606755
6.18435972,123,11.63025513
1.19334246,282,11.82113043
10.49467104,41,11.97283911
3.69975825,309,11.99738022
0.99478257,233,12.1193421
3.86634033,157,12.4068945
8.62805934,158,12.45077103
31.22050605,170,12.53307051
5.32071096,273,12.54744813
3.06863031,347,12.65602395
1.02304203,445,12.70783296
33.53753388,130,12.73063884
15.79133667,219,12.80029593
5.70617991,267,13.38804312
7.75201608,216,13.50380775
5.74683387,162,13.52438262
7.41909981,50,13.5248784
2.09640573,313,13.65923478
36.69441303,72,13.66196157
2.04980241,289,13.87242018
8.47436754,145,14.05214043
10.28396454,377,14.05685034
12.10471659,155,14.16369093
7.01553489,268,14.45074755
6.31797243,294,15.47726004
4.29023223,295,15.56302998
1.67995053,189,15.68226507
10.66249257,390,15.87066147
7.71309735,226,15.93808755
5.1932955,157,15.95593563
24.35246571,156,16.22563995
9.71629644,157,16.34983284
7.50239085,239,16.64705295
17.86369707,129,16.7648007
10.30057317,306,16.86767505
13.11238944,312,17.13192579
1.87429629,370,17.21719995
13.08065952,390,17.42146131
10.03483509,376,17.62869735
39.95788488,152,17.8059387
5.32442931,443,17.92443012
13.34763705,120,18.21074307
17.20455756,155,18.2570985
6.89481246,231,18.57241458
15.33596274,1319,18.58406541
15.94403691,262,18.80543118
15.3270387,427,18.83889633
7.84001703,217,18.86864313
6.90076182,407,18.94499325
14.22665499,218,19.10042028
8.80381335,118,19.3577301
6.08644317,273,19.38623745
5.67891201,295,19.77046695
42.23475453,131,19.85301432
2.18936448,212,20.1955983
8.42404587,317,20.27517099
21.21417831,209,20.58899973
5.6345397,307,20.92389912
6.66625788,246,20.92836114
8.00114553,310,21.01214796
6.72426414,270,21.21888822
14.96338407,474,22.41495747
26.35095489,367,22.51931916
12.03332427,321,22.71812694
3.87997428,601,23.20671813
6.48901653,219,23.5098876
12.245766,369,24.28776642
22.38050076,440,24.50367861
9.70340616,282,24.50665329
4.55324352,278,24.98210631
12.54422556,385,25.27907853
17.0597898,606,25.71511704
34.8508551,206,25.86310737
23.78876385,673,26.24039595
6.57255546,69,27.45555273
23.1752361,534,27.79714515
5.44887009,656,28.10799921
11.98325049,333,28.3016013
1.63309932,332,28.68211245
22.09369203,426,28.78151634
11.60149989,462,29.03337258
10.11763035,753,29.62880436
13.42225194,349,30.64118712
23.26298916,411,30.89874483
5.25204543,266,30.97038504
4.06589178,663,32.82261912
19.20428619,517,33.75220662
6.24509277,1162,35.57072766
12.37913082,939,36.03651297
34.40614044,602,37.29926463
22.28060109,485,37.54145316
17.30470512,433,40.27493619
19.21692858,664,40.97943957
32.55415425,442,41.40630615
10.17290982,205,41.5538007
52.54747431,614,43.86760596
66.38915613,818,48.07801761
17.17902489,923,48.45208362
61.93630806,283,48.66155067
81.65769279,557,50.15136957
0.15170868,23,51.21580923
46.97143665,502,52.55738991
89.45085861,720,52.92575445
19.31831559,1061,57.1113771
21.68640876,462,57.43437777
93.2760492,877,58.33397058
35.60840694,1361,71.42925561
6.51132663,241,72.56186502
27.34350645,1237,78.73184712
34.52091351,642,79.04840265
1.65218685,580,86.62639995
31.64613318,1780,95.81270757
46.14868974,938,108.77785035
61.7816247,2092,121.08310995
21.70400895,2102,125.03943435
135.81025485,534,137.29536384
357.00993855,1273,156.30803106
145.12868784,1567,206.50377294
43.48213701,2059,209.12942382
196.59610542,1280,287.79260541
450.48876177,3443,329.53356306
276.79670079,7642,480.14037201
1786.89920004,10661,1279.37169294
