BA,BS,CB,FI,FTB,LA,MARG,MAT,MC,MOB,NW,PTS,SE,STL,Y,YLD
43,16,0,12.25,1,3.44,3.36,0.85,1,6,0.885,1.66,0,9.35,0,1.6
30,13,1,12.38,0,2.34,3.36,0.85,1,1,0.358,1.66,0,11.56,0,1.6
25,16,0,12.38,0,1.37,3.36,0.85,0,3,0.457,1.66,0,0,0,1.6
26,14,1,12.25,1,0.75,3.36,0.85,1,5,0.573,1.66,0,15.32,0,1.6
32,12,1,12.4,0,0.69,3.36,0.85,0,3,0.352,1.66,0,27.91,0,1.6
27,13,0,12.5,1,0.17,2.1,1,1,1,0.61,0,0,7.03,0,1.77
27,17,0,13,1,0.25,3.61,1,0,4,0.733,1.81,0,12.56,0,1.69
25,16,1,13.25,1,93.49,3.61,1,1,1,13.572,4.34,0,86.35,0,1.69
24,16,1,12.25,0,2.01,2.6,0.93,1,1,0.481,2.55,0,8.08,0,1.59
34,9,1,13,0,0.44,2.4,1,1,2,0.17,2,0,0.34,0,1.59
44,12,0,12.5,0,2.1,2.6,0.93,1,9,0.462,1.27,0,3.04,0,1.59
30,18,0,12.5,0,1.55,2.6,0.93,0,2,0.419,2.55,0,18.12,0,1.59
35,24,1,12.5,0,27.58,2.6,0.93,1,1,3.198,1.27,0,0,0,1.59
34,17,0,13,1,1.22,3.86,1.69,1,2,3.426,1.48,0,26.82,0,1.6
55,14,0,12.5,1,5.71,2.6,0.93,1,6,1.676,2.55,0,0.13,0,1.59
65,6,1,13.25,0,0.21,3.86,1.27,1,10,0.066,1.48,0,1.23,0,1.6
27,18,0,12.5,0,0.48,2.6,0.93,0,27,0.186,1.09,0,0.52,0,1.59
31,20,1,12.75,1,1.07,3.86,0.85,1,2,0.721,1.48,0,11.52,0,1.6
36,16,0,12.13,0,1.08,3.36,0.85,0,1,0.369,1.66,0,8.62,0,1.6
27,16,0,12.75,0,0.97,3.86,0.85,0,2,0.211,1.48,0,9.18,0,1.6
31,12,1,12.25,0,3.03,2.73,0.85,1,1,0.42,1.24,0,7.31,0,1.4
31,15,1,12.75,1,0.25,2.6,0.93,1,1,1,0.76,0,2.4,0,1.59
45,14,0,13.25,1,1.32,2.08,1.42,1,5,0.792,0.97,0,14.94,0,1.5
37,12,0,13.9,0,0.7,3.04,1,1,1,0.261,2.03,0,1.91,0,1.5
37,14,0,12.25,1,2.33,2.6,0.93,1,1,0.745,0.69,0,0.8,0,1.59
32,16,0,12.75,0,0.4,2.08,0.95,0,1,0.107,0.49,0,9.81,0,1.5
41,18,1,13.9,1,1.22,3.04,1,1,2,0.884,2.03,0,0,0,1.5
31,16,1,12.6,0,2.12,3.36,0.85,1,1,0.598,1.66,0,3.92,0,1.6
36,25,0,14,0,0.71,2.45,1,0,1,0.443,1,0,0.2,0,1.64
43,16,0,13.7,1,0.09,2.08,2.38,0,18,0.797,0.97,0,19.45,0,1.5
38,16,0,13.8,0,0.98,3.04,1,0,3,0.241,2.03,0,10.06,0,1.5
48,17,1,13.75,1,7.8,1.04,1,1,17,2.662,0.67,0,13.88,0,1.45
27,14,0,13.62,1,1.29,1.5,1.5,1,1,1.237,2.33,0,3.33,0,1.38
26,11,1,14,0,0.39,2.4,1,1,26,0.322,1.5,0,16.61,0,1.59
39,12,0,13,0,0.35,2.4,1,0,2,0.116,2,0,4.88,0,1.59
31,12,1,13.37,1,0.08,0.35,1,1,3,0.405,1.67,0,9.29,0,2.04
34,12,1,13.5,0,0.54,0.35,1.5,1,2,0.268,1.67,0,8.26,0,2.04
36,16,1,14,1,1.15,0.35,1.5,0,1,3.534,1.67,0,12.25,0,2.04
31,12,0,11.77,1,1.17,1.9,1.13,1,1,0.435,0.46,0,10.68,1,1.88
39,16,0,11.76,0,1.44,1.75,1.11,0,2,0.314,0.45,0,7.05,1,1.74
33,12,0,14,1,0.66,1.66,1.5,1,1,0.441,0.5,0,0,1,1.74
30,12,1,12.84,0,1.34,0.85,1.2,1,1,0.36,0,0,12.93,1,2.03
24,17,0,13.75,0,0.46,-0.9,1,0,1,-0.056,1,0,23.88,1,1.45
30,12,0,12.5,0,0.49,0.95,1,1,1,0.182,0.67,0,6.66,1,1.77
35,12,0,12.5,0,0.93,-0.25,1,1,1,0.253,1,0,4.56,1,1.77
25,15,1,13.75,1,0.2,1.04,1,1,1,0.707,0.67,0,27.23,1,1.45
31,16,1,13.75,0,0.36,0.35,1,1,1,0.122,1.67,0,19.39,1,2.04
24,17,1,14.5,0,1.98,2.1,1,1,3,0.336,0,0,4.6,1,1.77
25,15,1,14,0,0.51,1.1,1.5,1,2,0.09,0,0,14.54,1,1.74
