LIQ,NACC,NTRAN,PRECIO,TMEDT,VALOR
21.718,182.845,13534,35.875,1.606,6.605
25.377,125.229,8944,35,2.434,4.414
8.317,52.777,4493,27.75,4.799,1.471
15.255,130.825,7139,62.125,3.035,8.16
4.971,41.947,2939,64.75,7.348,2.721
4.277,23.261,2462,26.125,8.489,0.608
2.473,27.168,2775,105,7.38,2.853
6.798,29.495,2373,22.25,8.989,0.649
10.848,87.213,5071,51.875,4.284,4.502
2.908,16.209,1550,26.875,13.309,0.438
3.695,30.065,3330,9.125,6.498,0.274
12.074,116.298,7549,79,2.833,9.144
37.923,407.704,23076,27.25,0.947,11.059
10.646,72.103,6495,93.875,3.33,6.778
19.624,189.167,17919,13.75,1.213,2.601
15.165,78.281,5638,43.625,3.827,3.444
4.054,9.121,2803,18,7.668,0.164
21.249,99.637,7260,26.75,2.981,2.653
8.726,46.101,3825,35.5,5.576,1.625
8.409,62.933,3974,58.5,5.447,3.689
34.073,87.766,10371,11.875,2.095,1.042
14.464,115.561,4118,34.125,5.242,3.944
8.903,21.716,2271,40.75,9.374,0.885
11.556,19.896,4905,49,4.378,0.975
5.067,29.574,3342,40.25,6.397,1.19
14.148,95.962,6340,28.125,3.384,2.687
4.712,22.525,2064,13.875,10.246,0.315
14.855,93.908,6897,42.75,3.132,4.026
6.18,30.959,3380,27.625,6.372,0.859
9.457,16.399,5496,27.625,3.938,0.451
6.17,44.673,3767,44.25,5.677,1.988
7.238,86.376,3240,35.375,6.682,3.088
9.877,38.18,4434,34.5,4.885,1.317
13.001,103.353,7790,71.75,2.79,7.441
12.967,84.354,5300,40.125,4.075,3.385
30.597,361.61,15835,31.875,1.372,11.481
15.134,59.854,8095,27.375,2.668,1.624
1.365,11.217,1712,16.25,12.308,0.179
39.273,300.702,16020,38.125,1.343,11.464
19.387,271.429,7195,52.875,3.013,14.352
15.505,250.052,6998,18.75,3.114,4.72
6.81,53.415,3747,53.5,5.764,2.878
18.001,54.348,8272,41.625,2.603,2.262
7.093,32.016,3306,48.625,6.494,1.557
3.791,17.147,2009,19.875,10.526,0.337
2.638,19.276,1637,57.75,12.751,1.113
18.96,53.827,5786,39.125,3.719,2.079
6.927,24.616,4736,119.625,4.543,2.942
19.436,34.743,6333,44,3.42,1.529
5.098,30.653,3568,70,6.03,2.15
16.257,121.37,7393,36.5,2.923,4.4
2.805,13.61,1240,32.75,16.6,0.442
10.961,60.899,5895,20.5,3.665,1.241
6.299,25.436,5061,15.375,4.288,0.394
5.971,34.305,2362,29.625,8.971,1.021
13.477,139.916,5152,38,4.14,5.299
11.716,129.852,4620,29.375,4.673,3.782
40.585,783.051,23781,44.875,0.914,35.237
20.43,95.704,13093,38,1.663,3.625
