"","price","yrbuilt","stories","TLA","wall","beds","baths","halfbaths","frontage","depth","garage","garagesqft","rooms","lotsize","sdate","avalue","s1993","s1994","s1995","s1996","s1997","s1998","syear","age","geometry"
"33",190000,1980,"one",1976,"wood",4,1,1,212,0,"attached",608,7,211400,980512,138028,0,0,0,0,0,1,"1998",0.19,c(489985.110879112, 198107.991135985)
"34",123500,1981,"one",1764,"partbrk",4,2,1,195,0,"attached",528,8,218889,951003,122114,0,0,1,0,0,0,"1995",0.18,c(490990.578617968, 198106.320798881)
"35",85500,1940,"one",1088,"wood",3,1,0,521,0,"detached",594,5,60592,960506,79114,0,0,0,1,0,0,"1996",0.59,c(485175.728361658, 198235.832087053)
"36",81000,1887,"two",2160,"metlvnyl",4,1,0,197,1326,"no garage",0,8,254200,970722,60600,0,0,0,0,1,0,"1997",1.12,c(485009.856779153, 198475.808428634)
"37",80000,1915,"two",1856,"partbrk",3,1,0,229,290,"detached",836,6,57400,951226,69200,0,0,1,0,0,0,"1995",0.84,c(491208.523311725, 198384.960875949)
"38",58000,1986,"one",1056,"wood",2,2,0,208,210,"no garage",0,4,43429,930125,47514,1,0,0,0,0,0,"1993",0.13,c(485248.266960173, 198681.309790382)
"39",56250,1907,"one",1257,"metlvnyl",3,1,0,320,0,"no garage",0,5,57000,980302,59028,0,0,0,0,0,1,"1998",0.92,c(489216.029110767, 198788.289963659)
"40",186950,1973,"one",1728,"partbrk",4,2,0,200,217,"attached",528,7,43560,980831,126914,0,0,0,0,0,1,"1998",0.26,c(484958.834582893, 198880.694003515)
"41",78000,1922,"one",706,"wood",2,1,0,197,301,"detached",576,4,59416,970708,54514,0,0,0,0,1,0,"1997",0.77,c(485160.916309821, 198913.382607837)
"42",83000,1988,"one",1344,"metlvnyl",3,2,0,195,331,"detached",352,5,58900,960828,78000,0,0,0,1,0,0,"1996",0.11,c(485160.940609757, 198973.250096293)
"43",210000,1983,"one",2232,"wood",3,2,1,332,656,"attached",816,7,207900,960925,190314,0,0,0,1,0,0,"1996",0.16,c(485059.723246172, 198982.732165717)
"44",125500,1986,"multilvl",1542,"wood",2,1,0,332,262,"attached",528,5,70200,960501,93914,0,0,0,1,0,0,"1996",0.13,c(485160.873550962, 199043.22659938)
"45",99500,1975,"one",1780,"partbrk",3,2,0,140,355,"attached",704,5,44100,950323,97600,0,0,1,0,0,0,"1995",0.24,c(492172.101168934, 198949.538062609)
"46",82000,1979,"one",1296,"wood",2,1,0,209,0,"detached",768,5,42500,950515,75800,0,0,1,0,0,0,"1995",0.2,c(486920.304505397, 199050.696750912)
"47",85000,1910,"two",1202,"metlvnyl",3,2,0,270,242,"attached",440,5,57281,980123,66428,0,0,0,0,0,1,"1998",0.89,c(487276.021307337, 199049.294618498)
"48",90000,1960,"multilvl",1580,"partbrk",3,1,0,173,220,"attached",480,6,32700,931220,77114,1,0,0,0,0,0,"1993",0.39,c(491697.253233761, 199042.993440802)
"49",59000,1870,"one",1620,"wood",3,1,1,189,232,"no garage",0,6,31712,970528,65828,0,0,0,0,1,0,"1997",1.29,c(487676.236135513, 199115.643841992)
"50",56500,1968,"one",1048,"wood",3,1,0,133,373,"detached",672,5,43500,960716,52914,0,0,0,1,0,0,"1996",0.31,c(492323.13658312, 199053.599027986)
"51",60000,1946,"one",984,"wood",2,1,0,83,0,"no garage",0,4,19300,961211,43714,0,0,0,1,0,0,"1996",0.53,c(490043.739191522, 199113.186434387)
"52",35000,1997,"one",2182,"partbrk",3,2,1,237,0,"attached",584,6,313888,960712,36600,0,0,0,1,0,0,"1996",0.02,c(489564.927974544, 199229.610745664)
"53",100000,1918,"one",2168,"metlvnyl",4,2,0,396,0,"detached",400,7,249500,960621,103800,0,0,0,1,0,0,"1996",0.81,c(487741.302772344, 199287.246341475)
"54",61500,1897,"one+half",1299,"wood",3,1,0,200,0,"attached",764,5,34100,951204,48428,0,0,1,0,0,0,"1995",1.02,c(489276.038098486, 199311.189618423)
"55",140000,1926,"two",2220,"wood",4,1,0,312,0,"detached",864,9,208400,941220,136114,0,1,0,0,0,0,"1994",0.73,c(492678.712757793, 199338.135953149)
"56",50000,1958,"one",988,"metlvnyl",2,1,0,83,0,"attached",528,5,21000,940817,49228,0,1,0,0,0,0,"1994",0.41,c(489287.298172191, 199447.30298799)
"57",86000,1958,"one",1012,"wood",3,1,0,78,0,"attached",528,6,191900,970616,63800,0,0,0,0,1,0,"1997",0.41,c(489467.9622494, 199458.777114267)
"58",124300,1982,"one",1668,"wood",3,2,0,185,360,"detached",624,6,60600,980805,104000,0,0,0,0,0,1,"1998",0.17,c(492214.227517309, 199520.706198112)
"59",103000,1987,"one",1404,"wood",2,1,1,230,948,"detached",480,5,211300,950710,105114,0,0,1,0,0,0,"1995",0.12,c(492057.098681359, 199551.910793897)
"60",198000,1944,"one",1934,"partbrk",3,2,0,240,0,"attached",600,6,83400,960701,143714,0,0,0,1,0,0,"1996",0.55,c(487577.221859813, 199717.402322685)
"61",52000,1902,"one",866,"metlvnyl",2,1,0,267,0,"detached",660,4,45100,960912,39914,0,0,0,1,0,0,"1996",0.97,c(486795.830747156, 199779.261762529)
"62",89900,1897,"one+half",1304,"wood",3,1,0,375,280,"no garage",0,7,86200,940531,60200,0,1,0,0,0,0,"1994",1.02,c(485153.285532459, 199850.064079988)
"63",51500,1956,"one",1152,"wood",2,1,0,132,0,"attached",448,5,39600,930913,62314,1,0,0,0,0,0,"1993",0.43,c(489292.15011481, 199805.101196664)
"64",90000,1949,"one",1395,"brick",2,1,0,195,0,"detached",528,5,49000,960221,86000,0,0,0,1,0,0,"1996",0.5,c(489292.020909174, 199857.084586618)
"65",139900,1937,"two",1860,"wood",4,1,0,330,632,"detached",784,7,208652,980916,102828,0,0,0,0,0,1,"1998",0.62,c(485665.798185772, 199992.172840589)
"66",110000,1989,"one+half",1404,"wood",2,1,0,282,364,"no garage",0,5,98700,980210,107028,0,0,0,0,0,1,"1998",0.1,c(485269.00807084, 200014.294019889)
"67",135000,1974,"bilevel",2390,"partbrk",4,1,1,150,0,"detached",768,7,104400,980728,133200,0,0,0,0,0,1,"1998",0.25,c(486954.967650877, 199997.490864339)
"68",75000,1979,"one",1000,"wood",1,2,0,303,0,"detached",768,4,295800,930601,109800,1,0,0,0,0,0,"1993",0.2,c(485363.162353409, 200103.78018357)
"69",90000,1926,"one",2208,"partbrk",4,1,0,60,0,"detached",720,7,106853,971119,95600,0,0,0,0,1,0,"1997",0.73,c(492765.410085087, 200096.249242413)
"70",135000,1992,"one",1890,"metlvnyl",3,2,1,207,500,"attached",576,6,97269,970220,128228,0,0,0,0,1,0,"1997",0.07,c(490937.035345218, 200129.166632369)
"71",110000,1947,"one+half",2354,"partbrk",4,1,1,200,0,"attached",440,7,206169,960206,139000,0,0,0,1,0,0,"1996",0.52,c(492809.942597959, 200158.682068052)
"72",62000,1958,"one",928,"wood",2,1,0,140,312,"attached",364,4,42800,960628,58600,0,0,0,1,0,0,"1996",0.41,c(489293.484393297, 200310.789422991)
"73",95000,1877,"two",1604,"wood",3,1,0,180,0,"detached",400,7,171626,941013,81514,0,1,0,0,0,0,"1994",1.22,c(493038.96132305, 200403.781270694)
"74",87900,1901,"one+half",1330,"partbrk",3,1,0,450,387,"no garage",0,6,160700,941031,98228,0,1,0,0,0,0,"1994",0.98,c(487697.135323689, 200487.613547792)
"75",78500,1947,"one",1074,"wood",2,1,0,105,0,"detached",440,5,24394,940823,66600,0,1,0,0,0,0,"1994",0.52,c(493401.76703591, 200492.207158623)
"76",80000,1929,"one+half",1591,"metlvnyl",4,1,0,235,210,"detached",308,8,49500,961230,76514,0,0,0,1,0,0,"1996",0.7,c(485702.41054982, 200664.141745019)
"77",130000,1954,"one",2118,"brick",3,2,0,130,0,"detached",960,6,310583,951004,142828,0,0,1,0,0,0,"1995",0.45,c(493197.412331093, 200554.95634425)
"78",362000,1975,"two",4896,"wood",4,3,0,199,0,"attached",900,9,73094,970912,264428,0,0,0,0,1,0,"1997",0.24,c(494061.918410108, 200575.987665692)
"79",295000,1975,"two",3484,"stone",4,2,0,397,0,"attached",910,11,294858,971202,275114,0,0,0,0,1,0,"1997",0.24,c(494207.177822022, 200591.42587148)
"80",82500,1941,"one+half",2182,"wood",3,1,1,125,0,"attached",400,7,141570,930315,109400,1,0,0,0,0,0,"1993",0.58,c(493365.665811676, 200628.575011528)
"81",72000,1948,"one",1391,"wood",3,1,0,336,0,"detached",576,6,69400,930909,91228,1,0,0,0,0,0,"1993",0.51,c(486893.558305603, 200734.963308602)
"82",210000,1956,"one",2437,"partbrk",3,1,1,100,0,"detached",600,5,53100,971222,174714,0,0,0,0,1,0,"1997",0.43,c(494615.47335447, 200707.574396819)
"83",140000,1952,"one",1780,"brick",3,2,0,153,0,"attached",420,5,96700,970815,122600,0,0,0,0,1,0,"1997",0.47,c(494686.378900434, 200757.974629433)
"84",120000,1952,"one",1491,"wood",3,2,0,100,0,"attached",732,5,69700,951218,133914,0,0,1,0,0,0,"1995",0.47,c(494753.690174903, 200814.0920689)
"85",153750,1950,"one",1810,"brick",3,3,0,100,0,"attached",441,6,63100,970604,133114,0,0,0,0,1,0,"1997",0.49,c(494776.060048639, 200835.871940546)
"86",115500,1955,"one",1959,"brick",2,2,0,80,0,"no garage",0,8,76200,971124,152800,0,0,0,0,1,0,"1997",0.44,c(494921.390389105, 200955.17419185)
"87",68000,1984,"one",1056,"metlvnyl",4,1,0,322,0,"no garage",0,6,99840,950501,92400,0,0,1,0,0,0,"1995",0.15,c(485960.723357468, 201095.386570396)
"88",90000,1958,"multilvl",1440,"wood",3,1,1,100,0,"detached",440,6,30143,930908,92114,1,0,0,0,0,0,"1993",0.41,c(494882.076151776, 201108.019121847)
"89",142000,1892,"two",1752,"wood",4,2,0,200,217,"detached",1080,8,43560,980105,78200,0,0,0,0,0,1,"1998",1.07,c(485513.573940056, 201311.439424102)
"90",100000,1994,"one",1779,"brick",2,1,0,197,0,"attached",234,5,51400,980319,108114,0,0,0,0,0,1,"1998",0.05,c(495033.268940629, 201246.232061286)
"91",145900,1971,"one",2673,"brick",3,2,0,166,0,"detached",960,7,43400,941101,134600,0,1,0,0,0,0,"1994",0.28,c(488682.954389814, 201462.578107056)
"92",95500,1957,"one",1424,"wood",3,1,1,90,0,"detached",576,6,19994,930609,91714,1,0,0,0,0,0,"1993",0.42,c(494766.033265262, 201425.579525443)
"93",138500,1959,"one",1880,"partbrk",3,1,0,90,0,"detached",648,7,19994,971001,109028,0,0,0,0,1,0,"1997",0.4,c(494794.267245839, 201425.504889538)
"94",95000,1901,"two",1744,"metlvnyl",3,1,0,200,0,"detached",480,8,43560,961125,62200,0,0,0,1,0,0,"1996",0.98,c(488408.152968725, 201546.754856959)
"95",132000,1900,"one+half",2596,"wood",4,2,0,99,0,"no garage",0,7,4966,960611,78914,0,0,0,1,0,0,"1996",0.99,c(491646.405835448, 201511.969801958)
"96",167500,1979,"one",2082,"wood",2,2,1,230,0,"attached",528,7,107700,980821,141914,0,0,0,0,0,1,"1998",0.2,c(488806.920482277, 201582.752832037)
"97",121700,1930,"one",1500,"wood",3,1,0,132,0,"detached",468,6,64468,980403,96514,0,0,0,0,0,1,"1998",0.69,c(494952.519950544, 201538.067977416)
"98",189400,1973,"one",2572,"brick",4,2,1,200,217,"attached",676,9,43560,961016,240514,0,0,0,1,0,0,"1996",0.26,c(488626.406419143, 201719.796931004)
"99",95000,1918,"one+half",1548,"wood",3,1,0,502,0,"attached",576,8,98200,971202,95600,0,0,0,0,1,0,"1997",0.81,c(486861.307145535, 201837.413586848)
"100",124000,1885,"two",1979,"partbrk",3,2,1,405,410,"no garage",0,7,168621,930621,107314,1,0,0,0,0,0,"1993",1.14,c(485139.847862618, 202086.947390627)
"101",42000,1909,"one+half",1410,"wood",4,1,0,392,0,"no garage",0,7,72615,950427,48628,0,0,1,0,0,0,"1995",0.9,c(490880.845169457, 202172.945411669)
"102",123000,1984,"two",1728,"partbrk",3,2,0,166,320,"attached",704,6,49397,960401,121000,0,0,0,1,0,0,"1996",0.15,c(487357.066484023, 202268.688327228)
"103",164000,1987,"one",2081,"brick",3,2,1,166,320,"attached",440,8,49397,980227,136314,0,0,0,0,0,1,"1998",0.12,c(487407.689854136, 202269.016279519)
"104",120000,1979,"one",2054,"partbrk",3,2,0,150,0,"attached",900,5,42100,951215,117828,0,0,1,0,0,0,"1995",0.2,c(488811.853011089, 202266.993122728)
"105",205000,1988,"two",2388,"partbrk",4,2,1,231,380,"attached",576,8,70393,980904,164914,0,0,0,0,0,1,"1998",0.11,c(486882.781328782, 202354.123272759)
"106",176500,1991,"two",2002,"metlvnyl",3,2,1,210,462,"attached",660,6,90735,970922,161314,0,0,0,0,1,0,"1997",0.08,c(486972.277022599, 202388.832456975)
"107",78000,1991,"one",1344,"wood",3,2,0,151,0,"no garage",0,6,49963,960528,74514,0,0,0,1,0,0,"1996",0.08,c(490017.805628791, 202359.532267807)
"108",112000,1897,"two",1916,"wood",4,1,0,136,0,"detached",440,7,45200,960402,74828,0,0,0,1,0,0,"1996",1.02,c(490101.425169679, 202360.158230733)
"109",20000,1997,"one",1568,"metlvnyl",3,2,0,330,300,"attached",576,6,102300,960816,24600,0,0,0,1,0,0,"1996",0.02,c(490392.53418851, 202355.88241769)
"110",138000,1973,"one",2032,"brick",4,2,0,145,0,"attached",520,7,49800,980407,100314,0,0,0,0,0,1,"1998",0.26,c(490465.105620371, 202360.566350177)
"111",122000,1981,"multilvl",2572,"partbrk",3,2,0,185,363,"attached",672,7,61725,951030,138600,0,0,1,0,0,0,"1995",0.18,c(490814.075114266, 202360.324578027)
"112",63500,1925,"one",1234,"wood",3,1,0,206,250,"no garage",0,6,41700,941021,73114,0,1,0,0,0,0,"1994",0.74,c(491699.533163622, 202365.763929558)
"113",162000,1991,"one+half",1519,"metlvnyl",2,1,1,165,1284,"attached",1332,5,212800,960722,139114,0,0,0,1,0,0,"1996",0.08,c(485410.509166415, 202496.986551353)
"114",185500,1989,"one+half",2804,"wood",5,2,2,196,0,"attached",528,7,254300,940825,201628,0,1,0,0,0,0,"1994",0.1,c(490643.273505836, 202444.413956828)
"115",55000,1912,"one",1154,"partbrk",2,1,0,259,0,"attached",576,5,50600,960516,50314,0,0,0,1,0,0,"1996",0.87,c(486790.068960986, 202682.117876126)
"116",128900,1974,"one",1540,"brick",3,1,1,140,312,"attached",484,6,43734,981001,97514,0,0,0,0,0,1,"1998",0.25,c(485960.274292759, 202741.937068855)
"117",35000,1897,"two",1648,"metlvnyl",3,1,1,252,280,"detached",280,7,60800,960813,49314,0,0,0,1,0,0,"1996",1.02,c(490884.17917552, 202897.195180381)
"118",60000,1930,"one",1358,"wood",2,1,0,250,0,"detached",225,5,80100,970528,89000,0,0,0,0,1,0,"1997",0.69,c(486769.958480196, 202962.667457664)
"119",190000,1993,"two",2314,"metlvnyl",4,2,1,322,0,"attached",576,8,198110,970317,164914,0,0,0,0,1,0,"1997",0.06,c(486467.612232172, 203026.909837085)
"120",95000,1949,"one",1180,"wood",3,1,0,300,228,"attached",520,5,68432,980928,80114,0,0,0,0,0,1,"1998",0.5,c(485167.759480532, 203067.727963715)
"121",73000,1973,"one",1728,"partbrk",3,1,1,132,0,"attached",600,7,43500,930924,106428,1,0,0,0,0,0,"1993",0.26,c(486537.988182237, 203073.130131968)
"122",88000,1888,"two",1684,"wood",4,1,0,464,0,"no garage",0,7,109400,940922,81828,0,1,0,0,0,0,"1994",1.11,c(489190.681263119, 203048.388995168)
"123",108000,1988,"one",1237,"brick",2,2,0,167,325,"attached",460,5,54100,960805,102400,0,0,0,1,0,0,"1996",0.11,c(486046.726863403, 203185.320580917)
"124",107500,1975,"one",1364,"partbrk",3,1,1,165,325,"attached",528,6,53600,971008,89114,0,0,0,0,1,0,"1997",0.24,c(486095.83415358, 203185.218752194)
"125",122000,1975,"one",1489,"partbrk",3,1,1,137,320,"attached",546,7,43900,980415,98400,0,0,0,0,0,1,"1998",0.24,c(486427.303932958, 203184.262454776)
"126",175000,1994,"two",2743,"wood",4,2,1,367,617,"attached",575,8,211400,950607,188228,0,0,1,0,0,0,"1995",0.05,c(485080.634248653, 203215.05276359)
"127",68000,1947,"two",1184,"wood",3,1,0,50,0,"no garage",0,7,7200,951204,35514,0,0,1,0,0,0,"1995",0.52,c(485496.430880795, 203244.268653097)
"128",184000,1990,"two",2686,"partbrk",3,2,0,117,0,"attached",441,7,47900,971201,158514,0,0,0,0,1,0,"1997",0.09,c(486501.66496753, 203261.187497334)
"129",123500,1977,"one",1676,"metlvnyl",3,2,0,211,206,"attached",484,7,43500,960719,108714,0,0,0,1,0,0,"1996",0.22,c(486435.404560686, 203264.553051874)
"130",65000,1995,"one",1568,"metlvnyl",2,2,0,50,150,"no garage",0,5,7500,971211,70600,0,0,0,0,1,0,"1997",0.04,c(485639.796425269, 203343.092535668)
"131",107000,1976,"one",1305,"wood",3,1,1,187,0,"attached",529,6,45368,960430,95428,0,0,0,1,0,0,"1996",0.23,c(486464.79791838, 203349.954250997)
"132",130000,1978,"two",2128,"metlvnyl",3,2,0,139,317,"attached",576,7,44300,970312,132514,0,0,0,0,1,0,"1997",0.21,c(486246.11903136, 203369.250422788)
"133",111111,1977,"one",1686,"wood",3,2,1,155,276,"attached",576,6,44100,950720,110428,0,0,1,0,0,0,"1995",0.22,c(486292.192401679, 203383.525733474)
"134",105000,1983,"one",1344,"wood",3,1,1,165,265,"attached",480,5,43700,941011,92028,0,1,0,0,0,0,"1994",0.16,c(486063.083460206, 203387.328968057)
"135",105000,1972,"one",1794,"partbrk",3,1,1,145,0,"attached",528,7,43500,950823,94714,0,0,1,0,0,0,"1995",0.27,c(485805.07843778, 203407.14275745)
"136",157000,1977,"two",2270,"partbrk",3,2,1,203,218,"attached",696,8,43700,951102,144028,0,0,1,0,0,0,"1995",0.22,c(486406.078592959, 203413.737389336)
"137",79000,1950,"one+half",1408,"wood",3,1,0,52,150,"detached",572,5,7800,970505,55514,0,0,0,0,1,0,"1997",0.49,c(485283.266337839, 203433.449334972)
"138",87000,1974,"one",1436,"wood",4,1,0,145,0,"no garage",0,7,43500,930927,91714,1,0,0,0,0,0,"1993",0.25,c(485786.172717822, 203447.758870996)
"139",110500,1947,"two",1824,"partbrk",3,2,1,50,150,"no garage",0,7,7500,960506,63828,0,0,0,1,0,0,"1996",0.52,c(485605.051267655, 203454.60054576)
"140",25500,1931,"two",860,"wood",2,1,0,50,128,"detached",216,5,6400,950612,32228,0,0,1,0,0,0,"1995",0.68,c(485183.360863613, 203469.234502296)
"141",83500,1917,"one",1223,"wood",3,1,0,100,150,"detached",700,6,15000,960701,52514,0,0,0,1,0,0,"1996",0.82,c(485385.265756031, 203472.273934494)
"142",144000,1990,"one",1572,"wood",3,2,0,81,0,"attached",484,6,62400,960430,113914,0,0,0,1,0,0,"1996",0.09,c(486559.858231746, 203490.535328018)
"143",124000,1992,"two",1994,"wood",3,2,1,197,0,"attached",506,5,44300,950210,140628,0,0,1,0,0,0,"1995",0.07,c(486438.004291924, 203500.876180103)
"144",80000,1907,"one+half",1876,"stucdrvt",3,1,0,50,150,"attached",780,8,7500,980909,58428,0,0,0,0,0,1,"1998",0.92,c(485206.770982522, 203523.846798339)
"145",28500,1931,"one",720,"stucdrvt",2,1,0,50,150,"attached",200,4,7500,970509,21628,0,0,0,0,1,0,"1997",0.68,c(485328.668231813, 203595.901144379)
"146",135000,1973,"one",2464,"wood",5,1,1,187,0,"attached",672,10,81500,950906,153514,0,0,1,0,0,0,"1995",0.26,c(484595.415436777, 203622.368870992)
"147",72000,1907,"one",954,"wood",2,1,0,58,150,"detached",600,5,8700,960613,41314,0,0,0,1,0,0,"1996",0.92,c(485378.68402471, 203637.765904048)
"148",65000,1971,"one",1276,"wood",3,1,0,50,150,"detached",416,5,7500,950829,39600,0,0,1,0,0,0,"1995",0.28,c(485508.068156287, 203660.388755096)
"149",70000,1955,"one",1474,"partbrk",3,2,0,75,158,"no garage",0,6,11900,930602,64428,1,0,0,0,0,0,"1993",0.44,c(485140.744543536, 203668.950306417)
"150",70000,1907,"two",1798,"wood",4,1,0,125,158,"detached",624,9,19800,930419,75400,1,0,0,0,0,0,"1993",0.92,c(485183.644404025, 203688.489135469)
"151",185000,1973,"two",2037,"metlvnyl",4,1,1,338,0,"attached",484,8,242500,960805,169200,0,0,0,1,0,0,"1996",0.26,c(490952.384519036, 203609.034190185)
"152",68900,1972,"one",1516,"partbrk",3,1,0,100,150,"attached",572,5,15000,930927,92428,1,0,0,0,0,0,"1993",0.27,c(485263.267275537, 203733.10747216)
"153",46000,1975,"one",1254,"partbrk",3,2,0,45,150,"attached",840,6,6800,960626,48914,0,0,0,1,0,0,"1996",0.24,c(485254.060689514, 203753.023634881)
"154",126500,1978,"one",2670,"partbrk",3,2,0,150,330,"attached",332,6,41991,950224,152628,0,0,1,0,0,0,"1995",0.21,c(489278.346346395, 203711.047003526)
"155",132000,1973,"multilvl",1732,"partbrk",3,1,1,290,0,"detached",816,6,78400,980617,100314,0,0,0,0,0,1,"1998",0.26,c(484574.541362423, 203896.607481)
"156",17500,1997,"one",1708,"metlvnyl",3,2,0,153,0,"attached",720,6,43560,960918,9514,0,0,0,1,0,0,"1996",0.02,c(487735.150923544, 203885.401480712)
"157",160000,1949,"one",2847,"partbrk",4,2,1,173,0,"detached",520,8,38376,961126,153228,0,0,0,1,0,0,"1996",0.5,c(491599.1436262, 203875.613800682)
"158",87000,1899,"two",1864,"wood",2,3,0,150,0,"detached",1120,6,50617,940601,81828,0,1,0,0,0,0,"1994",1,c(487685.111023083, 203965.479296095)
"159",90000,1967,"one",1008,"wood",3,1,0,135,324,"detached",528,5,36982,980505,74114,0,0,0,0,0,1,"1998",0.32,c(487848.702053764, 203992.392135787)
"160",158000,1982,"two",1914,"metlvnyl",5,2,0,163,274,"attached",648,9,44700,961023,128114,0,0,0,1,0,0,"1996",0.17,c(488802.918365438, 203984.644051148)
