year,firm,HSK,FOWNER,DEXP,DIASSET,DSOWNER,Y,K,L,M
2004,12,0.037037,0,0,0,0,20658.9930009049,1234.99969240837,27.0000036178834,16895.9968487951
2005,12,0.037037,0,0,1,0,18287.0054152454,1320.99959772607,34.9999978478706,13717.9983804631
2006,12,0.037037,0,0,1,0,26888.9311635632,2053.99919793677,33.0000144716093,26453.9297756754
2004,13,0.1626506,0,1,1,0,103341.053883107,49519.9055476982,332.000010319726,28480.0750299208
2005,13,0.1626506,0,1,1,0,105605.950700805,43109.9884576792,187.000071648206,10921.9958200193
2006,13,0.1626506,0,0,1,0,115108.449258988,79495.0472532086,246.999916852904,15444.0022025597
2004,14,0.2692308,0,0,0,1,9302.9980671293,4140.99758353851,52.0000146337678,8619.99686527086
2005,14,0.2692308,0,0,0,1,7257.9957339447,4006.99955668099,49.9999997285927,1550.99974691321
2006,14,0.2692308,0,0,0,1,7518.99677150731,4013.00252711966,47.9999994764212,1702.99884083184
2004,15,0.3428572,0,0,1,0,8795.00301517578,11378.0006222561,34.9999978478706,2509.0011381669
2005,15,0.3428572,0,0,1,0,15921.9987318363,11424.0036033659,39.9999818354467,3740.99912330369
2006,15,0.3428572,0,0,0,0,12199.9971851999,14877.0048326865,63.0000172373358,3547.99878151245
2004,16,0.1701571,0,0,1,0,29372.9658091964,12063.9989112513,382.000149512317,12100.003247824
2005,16,0.1701571,0,0,1,0,29602.0827200292,8238.99788821612,296.999958775601,10819.9940230285
2006,16,0.1701571,0,0,1,0,23297.9347899276,9937.99928285143,251.000015277923,9523.00757846312
2004,17,0.1144578,0,0,1,0,27927.858997892,9846.99882576696,166.000035132818,13488.0043129015
2005,17,0.1144578,0,0,1,0,26975.9228271269,8918.00013209857,160.00002956259,14410.9988062164
2006,17,0.1144578,0,0,1,0,30628.0029944074,9056.99802217831,155.999998869072,12924.0086985736
2004,18,0.0714286,1,0,1,0,8889.9970795648,3091.99873318525,56.0000173188343,7067.00465933927
2005,18,0.0714286,0.2473684,0,1,0,8334.00156693883,3233.99987019677,59.0000328095717,6721.99994430789
2006,18,0.0714286,0.2439282,0,1,0,8440.99945991344,3240.99934161831,49.9999997285927,7592.00500852177
2004,19,0.5454546,0,0,0,0,5049.99736254019,524.999862139415,10.9999969992183,4369.00249491189
2005,19,0.5454546,0,0,0,0,6845.00179528939,977.999344706168,16.0000044441641,3740.99912330369
2006,19,0.5454546,0,0,0,0,5255.9970557765,1612.99987398404,19.9999945289209,4412.99995909349
2004,20,0.4022988,0,0,1,0,43284.9379445097,5842.0030206204,86.9999896770518,37241.909291942
2005,20,0.4022988,0,0,1,0,40496.0614411891,6255.00360975522,92.9999541367585,28887.954849325
2006,20,0.4022988,0,0,1,0,34129.9303099984,8229.99758308708,130.000071440794,29754.9266814211
2004,21,0.0940594,0,0,1,0,21575.0104433461,15648.9953653432,202.000061124966,8704.99258158223
2005,21,0.0940594,0,0,1,0,20223.9939945532,17675.9988289539,215.999911940238,10009.0003281048
2006,21,0.0940594,0,0,1,0,23431.1122133092,18105.0104610767,236.000046013961,15860.991357287
2004,22,0.3548387,0,0,1,0,7335.9998977633,3878.99741100123,30.9999936609611,2926.99916085297
2005,22,0.3548387,0,0,1,0,9924.9989523628,4542.00125965346,44.0000161075995,5778.00068743077
2006,22,0.3548387,0,0,1,0,8982.99837201819,229.999928947676,45.0000229603415,5472.99895386944
2004,23,0.3043478,0,0,0,0,29340.0865033383,16596.9960977019,253.00012935197,6131.99852837104
2005,23,0.3043478,0,0,1,0,44885.9451897183,16029.0022340279,277.999968394005,6361.00078444618
2006,23,0.3043478,0,0,1,0,66643.9800701841,19446.0063711017,330.999875750216,5409.99798834313
2004,24,0.0677966,0,0,0,0,11389.0084702946,5764.00024716371,118.00004431306,9359.99466974699
2005,24,0.0677966,0,0,0,0,11689.0057555742,5838.0026188453,66.0000170262581,8953.99428017847
2006,24,0.0677966,0,0,0,0,13158.9971819986,5666.99911498684,73.9999931028917,12547.0016040123
2004,25,0.1726384,0,0,1,0,58440.8260047081,58361.9841198482,307.00007749074,28138.9495345992
2005,25,0.1726384,0,0,1,0,64032.1128639618,67348.7754643085,304.000090772522,31509.9926029868
2006,25,0.1726384,0,0,1,0,41316.2019065578,18549.99873794,300.999920310599,17536.996252882
2004,26,0.5263158,0,0,0,1,999.00022113012,2979.00014086713,19.0000003958376,248.000062951093
2005,26,0.5263158,0,0,0,1,1066.99973186106,2979.00014086713,19.9999945289209,243.000135268284
2006,26,0.5263158,0,0,0,1,719.999847352744,2998.00096336985,19.0000003958376,228.000084598403
2004,27,0.325,0,0,0,0,5702.9964005154,1021.00018565389,39.9999818354467,2889.00086535318
2005,27,0.325,0,0,0,0,7289.99398573277,1044.99982820315,39.9999818354467,3850.00220496559
2006,27,0.325,0,0,0,0,9499.00181535233,897.999938664626,24.0000040716496,4163.99821058443
2004,28,0.225,0,0,0,0,12293.9924088636,4861.99924699261,39.9999818354467,9880.99999807357
2005,28,0.225,0,0,0,0,12883.9934233498,4861.99924699261,39.0000138009462,9496.99773740695
2006,28,0.225,0,0,0,0,11383.998408862,4561.99816222452,34.0000161630544,7912.99797736471
2004,29,0.113924,0,0,1,0,7659.00225243876,1321.99997301582,79.0000116551062,3202.9995208019
2005,29,0.113924,0.4,0,1,0,7706.99779750933,2466.99971252209,104.999963233466,3466.00183602543
2006,29,0.113924,0.49,0,1,0,18942.0007996167,6184.9982383478,104.999963233466,3274.00079253374
2004,30,0.16,1,0,0,0,11893.9958339305,2306.00068988842,25.0000043782954,6741.00296028761
2005,30,0.16,1,0,0,0,16500.9956418752,600.000206870348,29.0000049303927,10142.9990731733
2006,30,0.16,1,0,0,0,24789.1168712561,936.999735542636,48.9999853925815,16098.9929608378
2004,31,0.5555556,0,0,0,0,42537.8692777582,19308.9886570753,9.00000380397483,43651.8088381405
2005,31,0.5555556,0,0,0,0,44378.9261729168,20764.9967593136,6.99999895661288,40019.0151944455
2006,31,0.5555556,0,0,0,0,41257.1619614532,21012.0003766642,8.00000366656215,38015.9086582181
2004,32,0.5846154,0,0,0,0,14534.9881831519,2000.00108091613,130.000071440794,3489.99994696431
2005,32,0.5846154,0,0,0,0,9729.99829549826,800.000217865688,112.00001441495,4079.99890901546
2006,32,0.5846154,0,0,0,0,6589.0008505489,460.000234837815,64.999982456786,2360.00024067362
2004,33,0.2777778,0,0,0,0,6979.00056517933,33715.0633448574,71.9999914308445,5682.99692380929
2005,33,0.2777778,0,0,1,0,11320.0073381112,31999.9621830027,79.0000116551062,9380.99393869441
2006,33,0.2777778,0,0,1,0,12889.9987634207,13421.9942189018,107.000017712578,10271.0033979986
2004,34,0.173913,0,0,0,0,5516.99716827673,1496.99942452393,22.9999950336301,3659.003055196
2005,34,0.173913,0,0,0,0,5940.00349060228,1533.00018568952,29.9999885501375,3470.00044089509
2006,34,0.173913,0,0,0,0,6926.00190491091,1559.00020413894,29.9999885501375,5043.99648390545
2004,35,0.5642458,0,0,0,1,70625.0375408175,10501.0024183176,179.000034754508,22028.0077013784
2005,35,0.5642458,0,0,0,1,79910.2972363053,19839.9924441584,209.999888549361,24439.1100755042
2006,35,0.5642458,0,1,0,1,85754.1705502495,50074.1406936321,226.000000164463,23918.0815000362
2004,36,0.5121951,0,0,0,0,14122.0120873598,2000.00108091613,40.9999972651235,4178.00024183722
2005,36,0.5121951,0,0,0,0,24625.0623988369,4373.99911979071,47.9999994764212,11072.0035667629
2006,36,0.5121951,0,0,0,0,24725.985150388,3470.99994494374,80.9999874715334,15753.9908585351
2004,37,0.2195122,0,0,1,1,1233.00061259852,186.000060689354,40.9999972651235,923.999933803086
2005,37,0.2195122,0,0,0,1,1010.99977857033,205.000004276626,18.0000043578696,964.999902207884
2006,37,0.2195122,0,0,0,1,1058.99963400817,210.999971836552,25.9999860114452,975.000515777235
2004,38,0.4210526,0,0,0,0,24471.8804342422,7286.00016343585,95.0000102979492,14345.9937352986
2005,38,0.4210526,0,0,1,0,25383.8900046896,8502.99726725704,90.000029670281,18982.0106168171
2006,38,0.4210526,0,0,1,0,30766.1395820991,8500.99929766986,92.9999541367585,21266.0035682005
2004,39,0.28125,0,0,0,0,6207.00020847046,1943.00106985993,32.0000031104089,2331.99872329942
2005,39,0.28125,0,0,0,0,8050.99527970024,1935.00076342754,29.9999885501375,3580.99867503586
2006,39,0.28125,0,0,0,0,6594.99957032643,1941.00080906912,28.0000137150977,3074.00023332109
2004,40,0.7222222,0,1,0,1,1058.99963400817,694.000027408278,18.0000043578696,579.999939946533
2005,40,0.7222222,0,1,0,1,1209.00018060673,818.999931324339,18.0000043578696,820.999910139562
2006,40,0.7222222,0,0,0,1,1660.00019695803,818.999931324339,16.0000044441641,1147.99933774251
2004,41,0.2564103,0,0,0,0,12304.0037927649,149.999955885568,39.0000138009462,4289.00049530713
2005,41,0.2564103,0,0,0,0,13915.9925372432,258.99998401982,44.0000161075995,10070.000143874
2006,41,0.2564103,0,0,0,0,12980.99962494,203.000004254517,59.0000328095717,9606.99732531801
2004,42,0.25,0,0,0,0,5127.00014466497,903.999674205531,32.0000031104089,3904.99975682087
2005,42,0.25,0,1,0,0,6911.99785393567,658.000045187943,29.0000049303927,5436.0012216268
2006,42,0.25,0,0,0,0,8975.99436520577,1200.00019706871,25.9999860114452,5504.99972939193
2004,43,0.0137931,0,1,0,1,22499.9867656724,18166.9992653493,434.999986476423,13488.0043129015
2005,43,0.0137931,0,1,0,1,47455.134176137,18166.9992653493,466.99987966864,34181.1636208403
2006,43,0.0137931,0,1,0,1,74644.3415229557,25909.1119873778,456.000086861448,57702.7435561939
2004,44,0.3,0,0,0,1,3613.00097136371,193.999969141717,49.9999997285927,414.999784104316
2005,44,0.3,0,0,0,1,2849.99922120142,220.000099802503,56.0000173188343,549.999846975437
2006,44,0.3,0,0,0,1,3514.00256962383,233.999973006299,52.0000146337678,393.00015253541
2004,45,0.24,0,0,0,0,6857.99908772925,2079.99964079367,49.9999997285927,2033.00037889361
2005,45,0.24,0,0,0,0,7387.00016599522,2417.99992461948,49.9999997285927,4106.00165234145
2006,45,0.24,0,0,0,0,7937.00278516621,2417.99992461948,46.9999717196358,3711.00125780433
2004,46,0.0722892,0,0,0,0,11164.9981658781,1850.00015156612,82.9999495528977,8005.00299842688
2005,46,0.0722892,0,0,0,0,7341.99585869629,945.000068518416,85.9999745222021,5766.99830672017
2006,46,0.0722892,0,0,0,0,10676.9981402984,286.999938076995,59.0000328095717,1619.00007499591
2004,47,0.3181818,0,1,0,0,8592.99830448764,396.999888567201,44.0000161075995,4292.99970711197
2005,47,0.3181818,0,0,0,0,11245.0015248961,396.999888567201,53.9999974855292,3700.99876983904
2006,47,0.3181818,0,1,0,0,9983.00074536649,396.999888567201,46.9999717196358,6539.00308927754
2004,48,0.5851852,0,0,0,0,31184.922381872,15342.0085221882,135.000029910815,10451.0005581409
2005,48,0.5851852,0,0,0,0,33058.0372406084,3433.00070905982,162.999967268501,13743.0016140488
2006,48,0.5851852,0,1,1,0,44781.9305005715,6386.00400226884,173.000070151899,21263.0052730822
2004,49,0.4,0,0,1,0,21389.9828435916,21554.9981208086,74.9999914847772,16330.9931233972
2005,49,0.4,0,0,1,0,22522.0475607267,24210.9429995086,63.9999946649812,16518.0004233454
2006,49,0.4,0,0,1,0,22864.9397258323,24210.9429995086,47.9999994764212,21018.9985379188
2004,50,0.0750853,0,0,1,1,18712.0129437682,8140.99754488662,292.999821558054,6244.99736111536
2005,50,0.0750853,0,0,1,1,21008.0084758353,16906.9997237909,349.000027151354,6681.00029446189
2006,50,0.0750853,0,0,1,1,22356.8938020371,18751.0119385833,369.000131349069,6011.99548575403
2004,51,0.6300578,0,0,1,0,93050.7200171352,70072.1006344708,173.000070151899,20163.9976770565
2005,51,0.6300578,0,1,1,0,118604.534692963,81392.6294016788,236.000046013961,37958.168370793
2006,51,0.6300578,0,1,1,0,143935.419173498,85732.7346872065,267.000091207149,40595.804385856
2004,52,0.0666667,0,0,0,0,13111.998421005,4219.99828233351,74.9999914847772,8619.00562262889
2005,52,0.0666667,0,0,0,0,14499.9865380806,4169.99868731403,69.9999830565469,12000.0008547584
2006,52,0.0666667,0,0,1,0,16793.00987605,4365.99765497886,64.999982456786,13747.991229195
2004,53,0.06,0,0,0,0,27100.0269138962,630.000113787096,49.9999997285927,22631.997443005
2005,53,0.06,0,0,0,0,28829.9483761128,660.000108886498,45.9999817615053,26660.0108310884
2006,53,0.06,0,0,0,0,33809.9359063784,2000.00108091613,64.999982456786,31199.8947376933
2004,54,0.1153846,0,0,0,0,6556.00039425346,2800.0008507429,25.9999860114452,1227.0006813399
2005,54,0.1153846,0,0,0,0,8722.00132223164,3659.99843939313,25.0000043782954,4704.99975524835
2006,54,0.1153846,0,0,0,0,11209.9942148993,6053.99703607334,25.0000043782954,8960.99904221057
2004,55,0,0,0,0,0,7345.99833701556,243.999945028465,9.99999907005959,5499.99795828729
2005,55,0,0,0,0,0,10702.9962006029,320.000001345993,9.99999907005959,8419.9990970698
2006,55,0,0,0,0,0,14361.9984392778,714.99961197389,9.99999907005959,11180.9978963245
2004,56,0.1603053,0,1,1,0,236151.776958861,677842.337960721,524.0001654158,137289.896223675
2005,56,0.1603053,0,1,1,0,399001.31834925,781023.095431634,524.0001654158,262797.748971907
2006,56,0.1603053,0,1,1,0,311221.451354979,787642.826325893,563.000209357393,225289.157378409
2004,57,0,0,0,0,0,16762.0050510811,135.000029910815,9.99999907005959,17959.0060877655
2005,57,0,0,0,0,0,29933.9929029759,145.000037349022,9.99999907005959,26700.0308548491
2006,57,0,0,0,0,0,42302.8610557988,145.000037349022,9.99999907005959,39971.021178381
2004,58,0.4216867,0,0,0,0,12000.0008547584,788.999746852646,82.9999495528977,4777.99843336212
2005,58,0.4216867,0,0,0,0,5399.99874421737,1979.99975509662,74.9999914847772,4161.9999710592
2006,58,0.4216867,0,0,0,0,5600.00069034989,981.999697195961,56.0000173188343,2719.99956673112
2004,59,0.3111111,0,0,0,0,27434.86695448,1899.99968620642,45.0000229603415,17530.9996256452
2005,59,0.3111111,0,0,0,0,50148.8067756829,3640.00014330394,51.0000187310628,39639.8418983982
2006,59,0.3111111,0,0,0,0,61183.9390356153,5920.99625478054,68.0000200480277,53879.2117131173
2004,60,0.2428571,0,0,0,0,22545.9335884993,1280.99961327034,69.9999830565469,11909.0036230995
2005,60,0.2428571,0,0,0,0,21499.9953965118,4514.00019239806,80.0000292260948,12834.9988024273
2006,60,0.2428571,0,0,0,0,19020.012627394,9311.99841722814,80.0000292260948,16013.9900932209
2004,61,0,0,0,0,0,16221.0003560491,99.9999814011926,10.9999969992183,11304.9956508309
2005,61,0,0,0,0,0,14229.9901658795,578.999723485302,10.9999969992183,9920.0079332363
2006,61,0,0,0,0,0,16800.0140214312,579.999939946533,8.00000366656215,12018.0023447857
2004,62,0.1,0,0,0,0,9323.00238392223,1542.00068754206,39.9999818354467,6152.99971240577
2005,62,0.1,0,0,0,0,12066.0017012976,317.00007168091,53.9999974855292,11514.0004002755
2006,62,0.1,0,0,0,0,15407.9979347441,300.999920310599,56.0000173188343,7158.99580914994
2004,63,0.0446927,0,0,0,0,6669.99907347257,5032.00101455055,179.000034754508,2990.00099750982
2005,63,0.0446927,0,0,0,0,8055.99650048727,818.999931324339,163.999929836846,4943.0014171239
2006,63,0.0446927,0,0,0,0,9557.00813046658,1493.99945365511,122.9999562892,9672.00587772813
2004,64,0.0338983,0,0,0,0,15860.008006307,237.999839666243,59.0000328095717,10583.9925298706
2005,64,0.0338983,0,0,0,0,25434.9629346986,705.000139017364,45.0000229603415,19950.011524759
2006,64,0.0338983,0,0,0,0,26870.115498,2205.00046772256,34.0000161630544,23888.919233206
2004,65,0.4117647,0,0,1,0,131197.618021056,10339.9984690347,118.999941319743,114909.483796519
2005,65,0.4117647,0,0,1,0,109677.55260188,8878.99807297017,163.999929836846,94342.7777087712
2006,65,0.4117647,0,0,1,0,131015.380016762,14099.9989232358,207.000042794073,107566.011655219
2004,66,0.4545455,0,0,0,0,10485.9967164934,422.999924263431,10.9999969992183,9505.99565410538
2005,66,0.4545455,0,0,0,0,13277.0067195458,243.999945028465,18.0000043578696,12559.9944733225
2006,66,0.4545455,0,0,0,0,10160.9985623621,426.999994351377,16.9999941510453,8552.99677055218
2004,67,0.0857143,0.5999679,0,0,0,8428.00189694007,10802.004524388,34.9999978478706,1543.00022780366
2005,67,0.0857143,0.5999679,0,0,0,11664.9978483264,11439.001732715,39.9999818354467,1775.00052911069
2006,67,0.0857143,0.5999679,0,0,0,8638.99901205366,11580.9988050218,39.9999818354467,1590.99995491458
2004,68,0.15,0,0,0,0,9360.99624275985,349.999945930793,19.9999945289209,8875.00342270107
2005,68,0.15,0,0,0,0,12913.0021326254,434.999986476423,21.0000118078114,11276.0016662095
2006,68,0.15,0,0,0,0,10196.002391003,730.0003400761,25.0000043782954,8834.99660070085
2004,69,0,0,0,0,0,11080.0004398619,1788.99985060291,39.9999818354467,7144.99935434947
2005,69,0,0,0,0,0,10293.0068805994,1788.99985060291,37.9999939303978,8013.99766635487
2006,69,0,0,0,0,0,5535.9972469617,2121.00009636831,34.9999978478706,4613.001459748
2004,70,0.2666667,0,0,1,0,25835.8928543937,32412.8426068974,90.000029670281,7688.00037940183
2005,70,0.2666667,0,0,1,0,25627.9799394624,32045.1139541989,166.000035132818,7737.99585815569
2006,70,0.2666667,0,0,1,0,38383.0026016682,43824.1362269904,187.000071648206,11689.0057555742
2004,71,0.0422535,0,0,0,0,13924.9990977229,8985.9991945839,71.0000087300671,11218.9994553741
2005,71,0.0422535,0,0,0,0,12799.9942411826,8962.00273030878,69.0000341827976,9383.00168621862
2006,71,0.0422535,0,0,0,0,13145.0034549799,8659.00414378448,64.999982456786,11114.0016244238
2004,72,0.2295082,0,0,0,0,15998.0001054465,730.999663922989,61.0000082854286,15284.9964183438
2005,72,0.2295082,0,0,0,0,25580.8678128222,274.999973141694,69.9999830565469,20604.0100818389
2006,72,0.2295082,0,0,1,0,32208.961491446,225.000134504046,71.0000087300671,25030.9915974629
2004,73,0.278481,0,0,0,0,126505.36533934,4094.00095709038,157.999994781739,84622.8835370582
2005,73,0.278481,0,0,0,0,176190.310590706,5327.99886929076,255.000115984628,207988.90168994
2006,73,0.278481,0,0,0,0,179507.092739698,7191.00342937078,308.000066844146,148424.249099212
2004,74,0.3908046,0.6,1,1,0,330879.652290916,60126.7432048602,86.9999896770518,115987.7661149
2005,74,0.3908046,0.6,1,1,0,277442.78202293,38462.9223347884,88.0000163259194,167558.864774629
2006,74,0.3908046,0.6,1,1,0,200490.070337272,74875.3492614105,79.0000116551062,158609.42299411
2004,75,0.0638298,0,0,1,1,15022.9903993683,5999.99551074053,46.9999717196358,9290.00156250489
2005,75,0.0638298,0,0,1,1,13979.9997792865,6527.00196700823,46.9999717196358,7709.00187745578
2006,75,0.0638298,0,0,1,1,14129.9932786634,4521.00231794169,46.9999717196358,7654.99764155775
2004,76,0,0,0,0,0,17894.0046505163,3142.99988434525,40.9999972651235,14339.9983630373
2005,76,0,0,0,0,0,15371.0015951267,4299.99870276908,39.0000138009462,12458.0091464914
2006,76,0,0,0,0,0,8377.99579837558,4318.9992529828,45.9999817615053,5056.00032446025
2004,77,0.2380952,0,0,0,0,20786.0007867841,7964.99822902904,104.999963233466,8524.997424157
2005,77,0.2380952,0,0,0,0,20489.9950571376,5080.0023338921,120.000030866158,21112.9948592367
2006,77,0.2380952,0,0,0,0,25073.0790068716,5479.9979179179,95.9999816190895,17894.9888478372
2004,78,0.0481928,0.5999369,0,1,1,8204.99997108401,3326.99908168665,82.9999495528977,3724.99951271915
2005,78,0.0481928,0.5999369,0,1,1,6131.99852837104,2536.99858029702,73.0000407961789,4291.9995547025
2006,78,0.0481928,0.5999369,0,1,1,8168.99361722076,2536.99858029702,68.0000200480277,4925.99714942076
2004,79,0.1270358,0,0,0,0,42879.9658784815,41000.1088270002,307.00007749074,18144.994200003
2005,79,0.1270358,0,0,0,0,47019.1385030295,41000.1088270002,600.000206870348,30600.1441893613
2006,79,0.1270358,0,0,1,0,55631.7855809084,39000.1199208248,499.999950788907,32108.9472240057
2004,80,0.1589744,0,0,1,0,34096.8403288331,18954.0138358538,195.000086080088,12726.0073328157
2005,80,0.1589744,0.25,0,1,0,36979.9073673935,22580.9068828627,141.999991820621,26640.023319219
2006,80,0.1589744,0.25,0,1,0,29143.8735535396,7236.99974767384,127.999966218293,27117.1053099818
2004,81,0.5555556,0,0,0,0,23710.8967514583,785.00022154084,9.00000380397483,7883.00141058487
2005,81,0.5555556,0,0,0,0,24056.9688828887,785.00022154084,42.9999950251771,13432.9913348713
2006,81,0.5555556,0,0,0,0,23436.9707236458,785.00022154084,9.00000380397483,21819.0124625221
2004,82,0.1111111,0,0,0,0,9857.99421074014,414.00001083632,18.0000043578696,8400.0001274162
2005,82,0.1111111,0,0,0,0,10139.0035187144,320.000001345993,22.0000120261203,8595.99778427468
2006,82,0.1111111,0,0,0,0,12444.00176683,344.999856124211,22.0000120261203,9747.00171218537
2004,83,0.3928571,0,0,1,1,15879.9883313624,19300.0120645693,279.999831112661,8421.00113658252
2005,83,0.3928571,0,0,0,1,12891.9968680781,29335.9791787473,255.999886213257,4361.00144853794
2006,83,0.3928571,0,0,0,1,11942.9926948462,20439.9990941475,226.000000164463,2953.00034921022
2004,84,0.1,0,0,0,0,7657.00351369762,305.999968802573,19.9999945289209,6742.00070255685
2005,84,0.1,0,0,0,0,16535.9983238846,265.000046113655,27.0000036178834,11444.0016688786
2006,84,0.1,0,0,0,0,18116.003538488,308.000066844146,28.0000137150977,13814.00207695
2004,85,0.0761905,0,0,0,0,7219.99832577698,1640.00078585827,104.999963233466,5247.99826488593
2005,85,0.0761905,0,0,0,0,12070.0082789175,930.000384883089,139.99994083471,7297.00303726291
2006,85,0.0761905,0,0,1,0,11530.0044590773,849.999702938344,121.000054982807,9030.00319290895
2004,86,0.2323232,0,0,1,0,11603.9983146201,4492.99591554963,99.0000148366767,5579.99969100552
2005,86,0.2323232,0,0,1,0,9604.00040969567,4908.99737830972,121.000054982807,7516.99698434957
2006,86,0.2323232,0,0,1,0,11679.9970054561,11530.0044590773,100.999947799046,4274.99836963988
2004,87,0.0727273,0,0,0,0,17469.9929573535,999.999721017902,54.999989812215,17041.9971985016
2005,87,0.0727273,0,0,0,0,7180.00242653691,444.999874436041,39.9999818354467,7462.00183728563
2006,87,0.0727273,0,0,0,0,11214.0081112728,1272.00032575916,36.0000022155801,9128.00099000548
2004,88,0.1647059,0,0,0,0,5674.00218239786,41680.1385267425,84.9999781983259,3285.9990188097
2005,88,0.1647059,0,0,0,0,5312.00164057815,41680.1385267425,75.9999741382433,2685.99898715476
2006,88,0.1647059,0,0,0,0,6207.00020847046,41680.1385267425,78.0000135182131,3182.00251728841
2004,89,0.4935065,0,0,1,0,80490.1422993804,35068.9008135089,153.999907228329,52057.8042310697
2005,89,0.4935065,0,0,1,0,50824.8150737494,35277.124440136,175.000004563385,47903.7946254842
2006,89,0.4935065,0,0,1,0,58573.0516301559,35578.9695747198,141.999991820621,55640.1309746344
2004,90,0.1333333,0.0084557,0,1,0,20114.9983026182,24551.0524019399,60.0000262666797,7016.9996122947
2005,90,0.1333333,0,0,1,0,26369.9398936794,8730.0030656828,60.0000262666797,8839.99862421598
2006,90,0.1333333,0,0,1,0,24068.0376341925,8219.99598822812,49.9999997285927,7486.00083495574
2004,91,0.1208791,0,0,0,0,25321.0159535264,5634.99759682022,90.9999539069783,20428.0043354853
2005,91,0.1208791,0,0,0,0,32416.0840532277,5811.99985650072,94.0000204666218,22295.9427180424
2006,91,0.1208791,0,0,0,0,46587.1485551248,7221.99854233043,126.000011724114,43565.8994232868
2004,92,0.0757576,0,0,0,0,30882.9644944839,8044.00200382064,66.0000170262581,19077.9977544212
2005,92,0.0757576,0,0,0,0,60680.0343775072,30288.0946971216,66.0000170262581,31144.0968800938
2006,92,0.0757576,0,0,0,0,70978.3372277657,30051.8649619704,66.0000170262581,32949.1255208893
2004,93,0.25,0.25,0,0,0,15879.9883313624,1816.99987572416,19.9999945289209,3203.999012565
2005,93,0.25,0.25,0,0,0,18999.9950951777,3023.0000157817,22.0000120261203,16040.0019020152
2006,93,0.25,0.25,0,0,0,21912.0063338198,3048.00025357368,19.9999945289209,17412.0016946719
2004,94,0.6666667,0,0,1,0,13289.0012713387,1475.99999238322,51.0000187310628,8443.00021386541
