edad,mujer,hispano,educ,renta,horassem,semtr,sindic,convlab,region,raza,estciv,exper,sal
57,1,0,14,60000,40,52,0,0,1,1,5,37,28.8461538461538
54,0,0,12,39000,40,52,0,0,1,1,1,36,18.75
63,0,0,12,50000,40,52,0,0,1,1,5,45,24.0384615384615
30,0,0,14,50000,40,52,0,0,1,1,1,10,24.0384615384615
47,0,0,16,118000,50,52,0,0,1,1,1,25,45.3846153846154
51,1,0,13,80474,50,52,0,0,1,1,7,32,30.9515384615385
27,0,0,14,45000,55,52,0,0,1,1,7,7,15.7342657342657
35,0,0,14,41900,43,52,0,0,1,1,5,15,18.7388193202147
59,0,0,12,27239,40,52,0,0,1,1,1,41,13.0956730769231
43,0,0,12,35000,40,48,0,0,1,1,1,25,18.2291666666667
48,0,0,14,4040,45,52,0,0,1,1,1,28,1.72649572649573
50,1,0,16,55000,45,52,0,0,1,1,1,28,23.5042735042735
51,1,0,18,16000,40,50,0,0,1,1,5,27,8
30,0,0,16,80000,65,52,0,0,1,1,1,8,23.6686390532544
55,0,0,13,34000,45,52,0,0,1,2,5,36,14.5299145299145
53,0,1,9,50000,70,52,0,0,1,1,1,38,13.7362637362637
38,1,0,12,32000,40,52,0,0,1,1,5,20,15.3846153846154
50,0,0,12,31000,36,52,0,0,1,1,1,32,16.5598290598291
49,1,0,12,56000,50,52,0,0,1,1,1,31,21.5384615384615
25,1,0,16,25000,40,52,1,0,1,1,2,3,12.0192307692308
26,0,0,12,33000,40,52,0,0,1,1,1,8,15.8653846153846
56,0,0,16,57000,60,52,0,0,1,1,7,34,18.2692307692308
51,0,0,12,62000,48,52,0,0,1,1,1,33,24.8397435897436
61,1,0,12,23000,40,52,0,0,1,1,5,43,11.0576923076923
31,0,0,12,27001,55,52,0,0,1,1,1,13,9.44090909090909
69,0,0,12,35000,40,52,0,0,1,1,1,51,16.8269230769231
63,1,0,12,23000,40,52,0,0,1,1,1,45,11.0576923076923
32,0,0,12,42000,40,52,0,0,1,1,1,14,20.1923076923077
32,1,0,13,30000,40,52,0,0,1,1,1,13,14.4230769230769
31,1,0,12,28000,40,52,0,0,1,1,1,13,13.4615384615385
54,1,0,18,80000,40,52,0,0,1,1,1,30,38.4615384615385
63,0,0,18,24000,40,52,0,0,1,1,1,39,11.5384615384615
27,1,0,16,36600,54,52,0,0,1,1,7,5,13.034188034188
61,0,0,16,40000,55,52,0,0,1,1,1,39,13.986013986014
47,0,0,12,40000,45,52,0,0,1,1,1,29,17.0940170940171
59,0,0,12,50000,50,52,0,0,1,1,5,41,19.2307692307692
58,0,0,12,67000,40,52,0,0,1,1,5,40,32.2115384615385
46,1,0,12,20000,40,52,0,0,1,1,5,28,9.61538461538461
35,1,0,12,22000,40,52,0,0,1,1,1,17,10.5769230769231
32,0,0,14,50000,50,52,0,0,1,1,1,12,19.2307692307692
46,0,0,14,30000,40,52,0,0,1,1,1,26,14.4230769230769
43,1,0,13,22000,40,52,0,0,1,1,1,24,10.5769230769231
43,1,0,16,32000,50,52,0,0,1,1,1,21,12.3076923076923
36,0,0,12,36200,44,52,0,0,1,1,1,18,15.8216783216783
31,1,0,16,48000,36,52,0,0,1,1,1,9,25.6410256410256
47,1,0,12,33200,40,52,0,0,1,1,1,29,15.9615384615385
48,0,0,13,35000,40,52,0,0,1,1,6,29,16.8269230769231
38,0,0,12,56000,52,52,0,0,1,1,1,20,20.7100591715976
36,1,0,14,75000,45,52,0,0,1,1,1,16,32.0512820512821
43,1,0,13,53898,40,52,0,0,1,1,1,24,25.9125
42,0,0,16,32144,40,49,0,0,1,1,1,20,16.4
59,0,0,12,26000,55,52,0,0,1,1,1,41,9.09090909090909
56,1,0,12,24787,40,52,0,0,1,5,1,38,11.9168269230769
54,1,0,12,32000,40,52,0,0,1,1,1,36,15.3846153846154
59,0,0,12,20000,40,52,0,0,1,1,1,41,9.61538461538461
61,1,0,13,15000,40,52,0,0,1,1,1,42,7.21153846153846
47,0,0,12,30000,44,52,0,0,1,1,7,29,13.1118881118881
50,1,0,12,29000,72,52,0,0,1,1,1,32,7.7457264957265
67,1,0,13,30000,40,52,0,0,1,1,4,48,14.4230769230769
32,1,0,16,36000,38,52,0,0,1,4,1,10,18.2186234817814
37,0,0,16,35000,40,52,0,0,1,1,1,15,16.8269230769231
48,0,0,16,120000,60,52,0,0,1,1,1,26,38.4615384615385
34,1,0,14,30000,40,52,0,0,1,1,5,14,14.4230769230769
46,1,0,12,25000,42,52,0,0,1,1,5,28,11.4468864468864
61,1,0,13,19000,40,52,0,0,1,1,1,42,9.13461538461539
65,0,0,12,70000,56,52,0,0,1,1,1,47,24.0384615384615
36,0,0,13,53000,60,52,0,0,1,1,7,17,16.9871794871795
40,0,0,14,54000,45,52,0,0,1,1,5,20,23.0769230769231
40,1,0,14,26000,40,52,0,0,1,1,5,20,12.5
44,0,0,16,67000,50,52,0,0,1,1,1,22,25.7692307692308
62,0,0,14,62402,40,52,0,0,1,1,1,42,30.0009615384615
44,0,0,12,90000,60,52,0,0,1,1,1,26,28.8461538461538
48,1,0,14,20000,40,52,0,0,1,1,1,28,9.61538461538461
45,0,0,12,48500,50,52,0,0,1,1,7,27,18.6538461538462
27,1,0,16,20484,45,52,0,0,1,1,7,5,8.75384615384615
53,0,0,12,23000,60,48,0,0,1,1,5,35,7.98611111111111
23,1,0,13,20134,40,52,0,0,1,1,6,4,9.67980769230769
44,0,0,16,56000,45,52,0,0,1,1,1,22,23.9316239316239
29,0,0,16,25000,40,52,0,0,1,1,1,7,12.0192307692308
25,1,0,13,15000,40,52,0,0,1,1,1,6,7.21153846153846
55,0,0,18,60000,50,52,0,0,1,1,1,31,23.0769230769231
52,1,0,18,22500,50,52,0,0,1,1,1,28,8.65384615384615
36,1,0,16,104000,42,52,0,0,1,1,5,14,47.6190476190476
32,0,0,13,25000,40,52,0,0,1,1,5,13,12.0192307692308
39,0,0,12,50000,40,52,0,0,1,1,1,21,24.0384615384615
37,1,0,12,20000,40,52,0,0,1,1,1,19,9.61538461538461
35,1,0,13,24000,40,52,0,0,1,1,1,16,11.5384615384615
38,0,0,16,85000,40,52,0,0,1,1,1,16,40.8653846153846
34,0,0,12,70000,60,52,0,0,1,1,7,16,22.4358974358974
39,1,0,12,24002,40,52,0,0,1,1,5,21,11.5394230769231
45,0,0,16,95000,60,52,0,0,1,1,1,23,30.4487179487179
51,0,0,18,156697,65,52,0,0,1,1,1,27,46.3600591715976
48,1,0,12,51600,44,52,0,0,1,1,1,30,22.5524475524476
44,1,0,14,38000,40,52,0,0,1,1,5,24,18.2692307692308
26,1,0,12,27000,36,52,0,0,1,1,1,8,14.4230769230769
26,0,0,12,34000,50,52,0,0,1,1,1,8,13.0769230769231
48,0,0,11,41000,40,52,0,0,1,1,5,31,19.7115384615385
48,0,0,12,19000,40,52,0,0,1,1,1,30,9.13461538461539
39,1,0,12,17000,40,52,0,0,1,1,5,21,8.17307692307692
28,0,0,12,19539,40,52,0,0,1,1,7,10,9.39375
32,1,0,18,61500,75,52,0,0,1,1,1,8,15.7692307692308
27,0,0,14,53000,58,52,0,0,1,1,1,7,17.5729442970822
49,1,0,16,50000,50,52,0,0,1,1,1,27,19.2307692307692
33,0,0,16,62000,40,52,0,0,1,1,1,11,29.8076923076923
61,1,0,14,21403,55,52,1,0,1,1,5,41,7.48356643356643
31,1,0,13,60000,48,52,0,0,1,1,1,12,24.0384615384615
56,1,0,12,26000,40,52,0,0,1,1,1,38,12.5
37,0,0,14,26000,40,52,0,0,1,1,7,17,12.5
34,0,0,12,75000,45,52,0,0,1,1,5,16,32.0512820512821
47,1,0,13,28000,40,52,0,0,1,1,5,28,13.4615384615385
40,1,0,14,6000,40,52,0,0,1,1,5,20,2.88461538461538
40,0,0,16,32000,45,52,0,0,1,1,1,18,13.6752136752137
46,1,0,18,52000,45,52,0,0,1,1,1,22,22.2222222222222
40,1,0,16,95000,40,52,0,0,1,1,1,18,45.6730769230769
35,0,0,12,50000,40,52,0,0,1,1,1,17,24.0384615384615
38,1,0,14,32000,40,52,0,0,1,1,1,18,15.3846153846154
38,0,0,13,48000,40,52,0,0,1,1,1,19,23.0769230769231
41,1,0,16,42000,50,52,0,0,1,1,1,19,16.1538461538462
45,1,0,14,25000,40,52,0,0,1,1,7,25,12.0192307692308
45,1,1,11,30000,40,52,0,0,1,1,1,28,14.4230769230769
44,1,0,12,39000,40,52,0,0,1,1,5,26,18.75
40,0,0,16,60000,40,52,0,0,1,1,1,18,28.8461538461538
39,1,0,16,12000,40,52,0,0,1,1,5,17,5.76923076923077
21,0,0,12,35000,57,52,0,0,1,1,7,3,11.808367071525
56,0,0,18,40000,40,52,0,0,1,1,1,32,19.2307692307692
55,0,0,18,42000,40,51,0,0,1,1,3,31,20.5882352941176
29,0,0,13,32000,40,52,0,0,1,1,7,10,15.3846153846154
48,0,0,12,60000,55,52,0,0,1,1,1,30,20.979020979021
43,1,0,16,26000,52,52,0,0,1,1,1,21,9.61538461538461
38,0,0,12,60000,50,52,0,0,1,1,1,20,23.0769230769231
45,0,0,12,33500,40,52,0,0,1,1,1,27,16.1057692307692
49,1,0,12,22000,40,52,0,0,1,1,1,31,10.5769230769231
29,0,0,11,22000,50,52,0,0,1,1,7,12,8.46153846153846
54,0,0,12,27457,40,52,0,0,1,1,1,36,13.2004807692308
37,1,0,12,20311,40,52,0,0,1,1,1,19,9.76490384615385
67,1,0,13,30000,40,52,0,0,1,1,7,48,14.4230769230769
40,0,0,12,20000,57,52,0,0,1,1,7,22,6.74763832658569
29,0,0,13,28000,40,52,0,0,1,1,1,10,13.4615384615385
59,0,0,12,28000,40,52,0,0,1,1,1,41,13.4615384615385
43,1,0,14,35000,40,52,0,0,1,1,1,23,16.8269230769231
48,0,0,12,48000,40,52,0,0,1,1,5,30,23.0769230769231
37,0,0,13,30000,42,52,0,0,1,1,1,18,13.7362637362637
32,1,0,12,15000,40,52,0,0,1,1,1,14,7.21153846153846
60,0,0,12,40000,40,52,0,0,1,1,1,42,19.2307692307692
59,1,0,12,40000,40,52,0,0,1,1,1,41,19.2307692307692
42,0,0,18,72000,45,52,0,0,1,1,1,18,30.7692307692308
42,1,0,13,45000,40,52,0,0,1,1,1,23,21.6346153846154
36,1,0,13,62000,40,52,0,0,1,1,7,17,29.8076923076923
52,0,0,14,76000,40,52,0,0,1,1,1,32,36.5384615384615
52,1,0,12,28000,40,48,0,0,1,1,5,34,14.5833333333333
51,0,0,12,65000,70,52,0,0,1,1,1,33,17.8571428571429
19,0,0,16,22000,40,50,0,0,1,1,7,-3,11
26,1,0,13,26000,40,52,0,0,1,1,7,7,12.5
43,0,0,16,70000,45,52,0,0,1,1,1,21,29.9145299145299
41,1,0,12,34000,40,52,0,0,1,1,1,23,16.3461538461538
43,1,0,16,68000,40,52,0,0,1,1,1,21,32.6923076923077
25,1,0,13,13000,40,48,0,0,1,1,7,6,6.77083333333333
37,1,0,14,68640,45,52,0,0,1,1,1,17,29.3333333333333
36,0,0,12,37000,45,52,0,0,1,1,1,18,15.8119658119658
40,1,0,16,55000,45,52,0,0,1,1,5,18,23.5042735042735
38,1,0,13,24900,40,52,1,0,1,1,7,19,11.9711538461538
36,0,0,12,30000,40,52,0,0,1,1,1,18,14.4230769230769
38,1,0,12,26002,40,52,0,0,1,1,1,20,12.5009615384615
54,0,0,16,52000,40,52,0,0,1,1,1,32,25
51,1,0,16,70000,40,52,0,0,1,1,1,29,33.6538461538462
25,0,0,16,25000,60,52,0,0,1,1,7,3,8.01282051282051
41,0,0,16,38291,45,52,0,0,1,1,1,19,16.3636752136752
55,1,0,14,30000,40,52,0,0,1,1,1,35,14.4230769230769
47,0,0,16,32500,40,52,0,0,1,1,1,25,15.625
39,1,0,16,32500,40,52,0,0,1,1,1,17,15.625
21,0,1,13,30000,40,52,0,0,1,1,7,2,14.4230769230769
42,0,0,14,5000,60,52,0,0,1,1,7,22,1.6025641025641
56,0,0,16,63674,50,52,0,0,1,1,1,34,24.49
47,0,0,14,40000,40,52,0,0,1,1,5,27,19.2307692307692
40,0,1,20,75000,40,52,0,0,1,1,1,14,36.0576923076923
30,1,0,12,32500,40,52,0,0,1,1,1,12,15.625
35,1,0,13,31500,40,52,0,0,1,1,1,16,15.1442307692308
39,0,0,16,36000,44,52,0,0,1,1,1,17,15.7342657342657
44,1,0,16,37000,44,52,0,0,1,1,1,22,16.1713286713287
43,0,0,12,31000,40,52,0,0,1,1,1,25,14.9038461538462
29,1,0,12,27000,40,52,0,0,1,1,7,11,12.9807692307692
40,1,0,16,46000,40,52,0,0,1,1,7,18,22.1153846153846
55,1,0,16,50000,50,52,0,0,1,1,5,33,19.2307692307692
38,1,0,14,61000,40,52,0,0,1,1,7,18,29.3269230769231
35,0,0,20,50000,60,52,0,0,1,1,7,9,16.025641025641
39,0,0,13,50000,72,52,0,0,1,1,1,20,13.3547008547009
32,1,0,14,60000,40,52,0,0,1,1,1,12,28.8461538461538
41,0,0,12,40000,40,52,0,0,1,1,1,23,19.2307692307692
43,1,0,14,42000,40,52,0,0,1,1,1,23,20.1923076923077
47,0,0,12,39000,36,52,0,0,1,1,1,29,20.8333333333333
43,0,0,13,39000,40,52,0,0,1,1,5,24,18.75
55,0,0,13,25000,40,52,0,0,1,1,1,36,12.0192307692308
47,1,0,14,25000,40,52,0,0,1,1,1,27,12.0192307692308
46,0,0,14,78000,40,52,0,0,1,1,1,26,37.5
43,1,0,12,43680,50,52,0,0,1,1,5,25,16.8
60,0,0,13,76000,45,52,0,0,1,7,1,41,32.4786324786325
50,0,0,18,150000,60,52,0,0,1,1,1,26,48.0769230769231
43,0,0,12,51000,55,52,0,0,1,1,1,25,17.8321678321678
44,1,0,16,67000,40,52,0,0,1,1,1,22,32.2115384615385
51,0,0,12,50000,50,52,0,0,1,1,1,33,19.2307692307692
43,1,0,18,50000,40,52,0,0,1,1,1,19,24.0384615384615
41,0,0,18,44200,40,52,0,0,1,1,1,17,21.25
51,0,0,12,34000,40,52,0,0,1,1,1,33,16.3461538461538
42,0,0,12,49000,36,52,0,0,1,1,1,24,26.1752136752137
61,0,0,14,8160,40,52,0,0,1,1,1,41,3.92307692307692
42,1,0,13,30000,40,52,0,0,1,1,1,23,14.4230769230769
37,0,0,12,45500,48,52,0,0,1,1,1,19,18.2291666666667
40,0,0,18,88000,60,52,0,0,1,1,1,16,28.2051282051282
56,0,0,12,28000,40,52,0,0,1,1,1,38,13.4615384615385
46,1,0,14,32250,38,52,0,0,1,1,7,26,16.3208502024291
31,1,0,13,18000,40,52,0,0,1,1,1,12,8.65384615384615
37,1,0,13,17500,40,52,0,0,1,1,1,18,8.41346153846154
41,0,0,12,21524,40,52,0,0,1,1,1,23,10.3480769230769
62,0,0,12,13000,60,52,0,0,1,1,1,44,4.16666666666667
41,0,0,12,22000,40,52,0,0,1,1,1,23,10.5769230769231
36,1,0,18,43000,40,52,0,0,1,1,7,12,20.6730769230769
55,0,0,14,30000,44,52,0,0,1,2,1,35,13.1118881118881
44,1,0,12,27000,40,52,0,0,1,1,1,26,12.9807692307692
46,1,0,13,49000,45,52,0,0,1,1,1,27,20.9401709401709
50,0,0,13,51000,47,52,0,0,1,1,1,31,20.8674304418985
48,0,0,20,102000,50,52,0,0,1,1,1,22,39.2307692307692
61,0,0,16,47184,45,52,0,0,1,1,1,39,20.1641025641026
53,0,0,16,50000,40,52,0,0,1,1,1,31,24.0384615384615
54,0,0,12,50000,60,52,0,0,1,1,1,36,16.025641025641
52,1,0,14,52000,40,52,0,0,1,1,1,32,25
26,1,0,13,16000,40,52,0,0,1,1,1,7,7.69230769230769
29,0,0,14,28000,40,52,0,0,1,1,1,9,13.4615384615385
29,0,0,13,43000,40,52,0,0,1,1,1,10,20.6730769230769
23,0,0,16,25000,40,52,0,0,1,1,7,1,12.0192307692308
75,1,0,13,75000,50,52,0,0,1,1,5,56,28.8461538461538
54,0,0,13,50000,40,52,0,0,1,1,1,35,24.0384615384615
53,0,0,16,41802,40,52,0,0,1,1,5,31,20.0971153846154
39,1,0,18,44000,40,52,0,0,1,1,7,15,21.1538461538462
69,1,0,13,8000,40,52,0,0,1,1,1,50,3.84615384615385
78,0,0,12,19000,40,52,0,0,1,1,1,60,9.13461538461539
43,0,0,12,40000,40,52,0,0,1,1,5,25,19.2307692307692
59,1,0,12,30000,40,52,0,0,1,1,1,41,14.4230769230769
63,0,0,12,40000,50,52,0,0,1,1,1,45,15.3846153846154
56,0,0,16,45000,56,52,0,0,1,1,1,34,15.4532967032967
50,1,0,14,66001,45,52,0,0,1,1,1,30,28.2055555555556
40,0,0,12,25000,40,48,0,0,1,1,1,22,13.0208333333333
37,1,0,13,30000,40,52,0,0,1,1,1,18,14.4230769230769
55,1,0,12,40000,40,52,0,0,1,1,1,37,19.2307692307692
56,0,0,12,40000,45,52,0,0,1,1,1,38,17.0940170940171
49,1,0,9,23660,40,52,0,0,1,1,1,34,11.375
52,0,0,12,87000,80,52,1,0,1,1,1,34,20.9134615384615
51,1,0,12,24000,40,52,0,0,1,1,1,33,11.5384615384615
46,0,0,14,105000,60,52,0,0,1,1,1,26,33.6538461538462
56,1,0,14,75000,40,52,0,0,1,1,1,36,36.0576923076923
60,0,0,14,65000,40,52,0,0,1,1,1,40,31.25
51,0,0,18,63000,45,52,0,0,1,1,1,27,26.9230769230769
48,1,1,16,35000,40,52,0,0,1,1,1,26,16.8269230769231
53,1,0,13,20000,40,52,0,0,1,1,1,34,9.61538461538461
29,0,0,16,60000,40,52,0,0,1,1,1,7,28.8461538461538
49,0,0,13,45000,40,52,0,0,1,1,1,30,21.6346153846154
20,0,0,12,30000,40,52,0,0,1,1,7,2,14.4230769230769
28,1,0,14,79000,36,52,0,0,1,1,1,8,42.2008547008547
54,0,0,16,68050,40,52,0,0,1,1,1,32,32.7163461538462
48,0,0,18,57000,50,52,0,0,1,1,1,24,21.9230769230769
50,1,0,18,45000,40,52,0,0,1,1,1,26,21.6346153846154
51,1,0,13,58583,40,52,0,0,1,1,1,32,28.1649038461538
52,0,0,18,199482,45,52,0,0,1,1,1,28,85.248717948718
47,1,0,14,30000,36,52,0,0,1,1,5,27,16.025641025641
23,1,0,13,19000,39,52,0,0,1,1,7,4,9.36883629191322
26,0,0,13,35000,40,52,0,0,1,1,6,7,16.8269230769231
24,0,0,14,41000,40,52,0,0,1,1,7,4,19.7115384615385
43,1,0,16,70000,50,52,0,0,1,1,1,21,26.9230769230769
43,0,0,12,2200,40,52,0,0,1,1,1,25,1.05769230769231
29,0,0,18,59300,40,52,0,0,1,1,1,5,28.5096153846154
37,0,0,16,47000,40,52,0,0,1,1,5,15,22.5961538461538
51,1,0,12,18000,40,52,0,0,1,1,1,33,8.65384615384615
36,1,0,12,28000,40,52,0,0,1,1,1,18,13.4615384615385
38,0,0,13,30000,40,52,0,0,1,1,1,19,14.4230769230769
24,1,0,16,42000,50,52,0,0,1,1,7,2,16.1538461538462
57,0,0,16,81595,36,52,0,0,1,1,1,35,43.5870726495726
46,0,0,14,52000,40,52,0,0,1,6,1,26,25
45,1,0,14,30000,36,52,0,0,1,1,1,25,16.025641025641
29,0,0,9,24000,40,52,0,0,1,1,5,14,11.5384615384615
74,1,0,12,40000,50,52,0,0,1,1,1,56,15.3846153846154
46,0,0,12,50000,40,52,0,0,1,1,5,28,24.0384615384615
44,0,0,14,58000,50,52,0,0,1,1,1,24,22.3076923076923
43,1,0,16,25000,40,48,0,0,1,1,1,21,13.0208333333333
36,0,0,16,37500,45,52,0,0,1,1,1,14,16.025641025641
38,1,0,12,34000,40,52,0,0,1,1,6,20,16.3461538461538
40,1,0,10,5408,45,52,0,0,1,1,5,24,2.31111111111111
46,1,0,12,42000,50,52,0,0,1,1,1,28,16.1538461538462
50,1,0,14,75000,36,52,0,0,1,1,5,30,40.0641025641026
49,0,0,14,72000,36,52,0,0,1,1,5,29,38.4615384615385
46,0,0,16,45000,40,52,0,0,1,1,1,24,21.6346153846154
41,0,0,13,52000,40,52,0,0,1,1,1,22,25
43,0,0,12,41000,45,52,0,0,1,1,5,25,17.5213675213675
43,0,1,12,18000,36,48,0,0,1,7,7,25,10.4166666666667
40,1,0,13,38000,40,52,0,0,1,1,1,21,18.2692307692308
41,0,0,12,46700,40,52,0,0,1,1,1,23,22.4519230769231
41,1,0,14,68000,40,52,0,0,1,1,1,21,32.6923076923077
53,1,0,12,23000,40,52,0,0,1,1,1,35,11.0576923076923
47,1,0,12,30000,40,52,0,0,1,1,1,29,14.4230769230769
46,0,0,12,62000,40,52,0,0,1,1,1,28,29.8076923076923
40,0,0,16,24000,40,52,0,0,1,1,1,18,11.5384615384615
39,1,0,18,33000,40,52,0,0,1,1,1,15,15.8653846153846
62,1,0,16,37000,40,52,0,0,1,1,4,40,17.7884615384615
32,0,0,13,46000,40,52,0,0,1,1,1,13,22.1153846153846
46,0,0,14,16900,50,50,0,0,1,7,4,26,6.76
53,1,0,12,65000,50,52,0,0,1,1,1,35,25
53,0,0,18,59000,55,52,0,0,1,1,1,29,20.6293706293706
